"","proNotch","antiNotch"
"1","HDAC1","HERPUD1"
"2","PHB2","HERPUD1"
"3","TAGLN","HERPUD1"
"4","ITGAV","HERPUD1"
"5","SLC3A1","HERPUD1"
"6","CANX","HERPUD1"
"7","FLOT1","HERPUD1"
"8","NQO1","HERPUD1"
"9","PCF11","HERPUD1"
"10","F2R","HERPUD1"
"11","LAMB2","HERPUD1"
"12","CD4","HERPUD1"
"13","SLC4A3","HERPUD1"
"14","S100A13","HERPUD1"
"15","CNTN1","HERPUD1"
"16","TCAP","HERPUD1"
"17","STAT5A","HERPUD1"
"18","ARL6IP5","HERPUD1"
"19","ANXA6","HERPUD1"
"20","ABCC8","HERPUD1"
"21","SLC12A3","HERPUD1"
"22","COL18A1","HERPUD1"
"23","HMGCR","HERPUD1"
"24","SFPQ","HERPUD1"
"25","SEC62","HERPUD1"
"26","BRCA1","HERPUD1"
"27","PSMD10","HERPUD1"
"28","PTHLH","HERPUD1"
"29","RBP1","HERPUD1"
"30","P2RY10","HERPUD1"
"31","CD69","HERPUD1"
"32","TARP","HERPUD1"
"33","CD3D","HERPUD1"
"34","RAG2","HERPUD1"
"35","RRAS2","HERPUD1"
"36","ID2","HERPUD1"
"37","CD28","HERPUD1"
"38","GATA3","HERPUD1"
"39","TRAT1","HERPUD1"
"40","EGR2","HERPUD1"
"41","TNFRSF18","HERPUD1"
"42","LCK","HERPUD1"
"43","GZMB","HERPUD1"
"44","BCL2A1","HERPUD1"
"45","CCR7","HERPUD1"
"46","CD83","HERPUD1"
"47","CCL5","HERPUD1"
"48","TRAF1","HERPUD1"
"49","IL12B","HERPUD1"
"50","CX3CL1","HERPUD1"
"51","RELB","HERPUD1"
"52","EGR1","HERPUD1"
"53","CARD11","HERPUD1"
"54","NFKB2","HERPUD1"
"55","ICAM1","HERPUD1"
"56","IRF7","HERPUD1"
"57","JUNB","HERPUD1"
"58","IL10RA","HERPUD1"
"59","CD86","HERPUD1"
"60","BIRC2","HERPUD1"
"61","BIRC3","HERPUD1"
"62","CD80","HERPUD1"
"63","ZAP70","HERPUD1"
"64","DDR1","HERPUD1"
"65","CD7","HERPUD1"
"66","CD3G","HERPUD1"
"67","TOX","HERPUD1"
"68","GZMA","HERPUD1"
"69","DTX1","HERPUD1"
"70","LAT","HERPUD1"
"71","RAG1","HERPUD1"
"72","PTCRA","HERPUD1"
"73","CD2","HERPUD1"
"74","NFATC1","HERPUD1"
"75","NOTCH3","HERPUD1"
"76","CD74","HERPUD1"
"77","THY1","HERPUD1"
"78","CTLA4","HERPUD1"
"79","MAMLD1","HERPUD1"
"80","CREBBP","HERPUD1"
"81","E2F1","HERPUD1"
"82","E2F3","HERPUD1"
"83","EIF2C3","HERPUD1"
"84","EIF2C4","HERPUD1"
"85","EP300","HERPUD1"
"86","SNW1","HERPUD1"
"87","TNRC6B","HERPUD1"
"88","KAT2A","HERPUD1"
"89","EIF2C1","HERPUD1"
"90","EIF2C2","HERPUD1"
"91","TNRC6A","HERPUD1"
"92","RBPJ","HERPUD1"
"93","JUN","HERPUD1"
"94","MOV10","HERPUD1"
"95","LOC441488","HERPUD1"
"96","NOTCH2","HERPUD1"
"97","NOTCH4","HERPUD1"
"98","MAML3","HERPUD1"
"99","TNRC6C","HERPUD1"
"100","CCND1","HERPUD1"
"101","TFDP1","HERPUD1"
"102","LOC728030","HERPUD1"
"103","MAML2","HERPUD1"
"104","KAT2B","HERPUD1"
"105","MAML1","HERPUD1"
"106","ADAM10","HERPUD1"
"107","DTX2","HERPUD1"
"108","MIB2","HERPUD1"
"109","JAG1","HERPUD1"
"110","DTX4","HERPUD1"
"111","NCSTN","HERPUD1"
"112","DLL1","HERPUD1"
"113","JAG2","HERPUD1"
"114","ARRB1","HERPUD1"
"115","ARRB2","HERPUD1"
"116","APH1A","HERPUD1"
"117","PSENEN","HERPUD1"
"118","PSEN1","HERPUD1"
"119","PSEN2","HERPUD1"
"120","MIB1","HERPUD1"
"121","RPS27A","HERPUD1"
"122","ADAM17","HERPUD1"
"123","RPS27AP11","HERPUD1"
"124","UBA52","HERPUD1"
"125","APH1B","HERPUD1"
"126","DNER","HERPUD1"
"127","ST3GAL6","HERPUD1"
"128","TMED2","HERPUD1"
"129","POFUT1","HERPUD1"
"130","B4GALT1","HERPUD1"
"131","MFNG","HERPUD1"
"132","ATP2A1","HERPUD1"
"133","ATP2A2","HERPUD1"
"134","ATP2A3","HERPUD1"
"135","FURIN","HERPUD1"
"136","POGLUT1","HERPUD1"
"137","RAB6A","HERPUD1"
"138","SEL1L","HERPUD1"
"139","ST3GAL3","HERPUD1"
"140","HDAC6","HERPUD1"
"141","HDAC5","HERPUD1"
"142","CDK8","HERPUD1"
"143","HEYL","HERPUD1"
"144","HDAC2","HERPUD1"
"145","HIF1A","HERPUD1"
"146","HES1","HERPUD1"
"147","HES5","HERPUD1"
"148","HDAC7","HERPUD1"
"149","HDAC8","HERPUD1"
"150","SKP1","HERPUD1"
"151","TBL1X","HERPUD1"
"152","TLE1","HERPUD1"
"153","TLE2","HERPUD1"
"154","TLE3","HERPUD1"
"155","TLE4","HERPUD1"
"156","TBL1XR1","HERPUD1"
"157","HDAC11","HERPUD1"
"158","HDAC10","HERPUD1"
"159","CUL1","HERPUD1"
"160","HDAC3","HERPUD1"
"161","CCNC","HERPUD1"
"162","NCOR1","HERPUD1"
"163","NCOR2","HERPUD1"
"164","HDAC9","HERPUD1"
"165","HDAC4","HERPUD1"
"166","RBX1","HERPUD1"
"167","STAT3","HERPUD1"
"168","NOD2","HERPUD1"
"169","ITGB1BP1","HERPUD1"
"170","TSPAN15","HERPUD1"
"171","TSPAN17","HERPUD1"
"172","GSX2","HERPUD1"
"173","NOV","HERPUD1"
"174","TSPAN14","HERPUD1"
"175","PDCD10","HERPUD1"
"176","KIT","HERPUD1"
"177","TSPAN10","HERPUD1"
"178","TSPAN33","HERPUD1"
"179","WNT1","HERPUD1"
"180","SLC35C2","HERPUD1"
"181","TSPAN5","HERPUD1"
"182","C3orf17","HERPUD1"
"183","ASCL1","HERPUD1"
"184","AAK1","HERPUD1"
"185","NOTCH1","HERPUD1"
"186","EYA1","HERPUD1"
"187","ERH","HERPUD1"
"188","FGF10","HERPUD1"
"189","MESP1","HERPUD1"
"190","HDAC1","DDAH2"
"191","PHB2","DDAH2"
"192","TAGLN","DDAH2"
"193","ITGAV","DDAH2"
"194","SLC3A1","DDAH2"
"195","CANX","DDAH2"
"196","FLOT1","DDAH2"
"197","NQO1","DDAH2"
"198","PCF11","DDAH2"
"199","F2R","DDAH2"
"200","LAMB2","DDAH2"
"201","CD4","DDAH2"
"202","SLC4A3","DDAH2"
"203","S100A13","DDAH2"
"204","CNTN1","DDAH2"
"205","TCAP","DDAH2"
"206","STAT5A","DDAH2"
"207","ARL6IP5","DDAH2"
"208","ANXA6","DDAH2"
"209","ABCC8","DDAH2"
"210","SLC12A3","DDAH2"
"211","COL18A1","DDAH2"
"212","HMGCR","DDAH2"
"213","SFPQ","DDAH2"
"214","SEC62","DDAH2"
"215","BRCA1","DDAH2"
"216","PSMD10","DDAH2"
"217","PTHLH","DDAH2"
"218","RBP1","DDAH2"
"219","P2RY10","DDAH2"
"220","CD69","DDAH2"
"221","TARP","DDAH2"
"222","CD3D","DDAH2"
"223","RAG2","DDAH2"
"224","RRAS2","DDAH2"
"225","ID2","DDAH2"
"226","CD28","DDAH2"
"227","GATA3","DDAH2"
"228","TRAT1","DDAH2"
"229","EGR2","DDAH2"
"230","TNFRSF18","DDAH2"
"231","LCK","DDAH2"
"232","GZMB","DDAH2"
"233","BCL2A1","DDAH2"
"234","CCR7","DDAH2"
"235","CD83","DDAH2"
"236","CCL5","DDAH2"
"237","TRAF1","DDAH2"
"238","IL12B","DDAH2"
"239","CX3CL1","DDAH2"
"240","RELB","DDAH2"
"241","EGR1","DDAH2"
"242","CARD11","DDAH2"
"243","NFKB2","DDAH2"
"244","ICAM1","DDAH2"
"245","IRF7","DDAH2"
"246","JUNB","DDAH2"
"247","IL10RA","DDAH2"
"248","CD86","DDAH2"
"249","BIRC2","DDAH2"
"250","BIRC3","DDAH2"
"251","CD80","DDAH2"
"252","ZAP70","DDAH2"
"253","DDR1","DDAH2"
"254","CD7","DDAH2"
"255","CD3G","DDAH2"
"256","TOX","DDAH2"
"257","GZMA","DDAH2"
"258","DTX1","DDAH2"
"259","LAT","DDAH2"
"260","RAG1","DDAH2"
"261","PTCRA","DDAH2"
"262","CD2","DDAH2"
"263","NFATC1","DDAH2"
"264","NOTCH3","DDAH2"
"265","CD74","DDAH2"
"266","THY1","DDAH2"
"267","CTLA4","DDAH2"
"268","MAMLD1","DDAH2"
"269","CREBBP","DDAH2"
"270","E2F1","DDAH2"
"271","E2F3","DDAH2"
"272","EIF2C3","DDAH2"
"273","EIF2C4","DDAH2"
"274","EP300","DDAH2"
"275","SNW1","DDAH2"
"276","TNRC6B","DDAH2"
"277","KAT2A","DDAH2"
"278","EIF2C1","DDAH2"
"279","EIF2C2","DDAH2"
"280","TNRC6A","DDAH2"
"281","RBPJ","DDAH2"
"282","JUN","DDAH2"
"283","MOV10","DDAH2"
"284","LOC441488","DDAH2"
"285","NOTCH2","DDAH2"
"286","NOTCH4","DDAH2"
"287","MAML3","DDAH2"
"288","TNRC6C","DDAH2"
"289","CCND1","DDAH2"
"290","TFDP1","DDAH2"
"291","LOC728030","DDAH2"
"292","MAML2","DDAH2"
"293","KAT2B","DDAH2"
"294","MAML1","DDAH2"
"295","ADAM10","DDAH2"
"296","DTX2","DDAH2"
"297","MIB2","DDAH2"
"298","JAG1","DDAH2"
"299","DTX4","DDAH2"
"300","NCSTN","DDAH2"
"301","DLL1","DDAH2"
"302","JAG2","DDAH2"
"303","ARRB1","DDAH2"
"304","ARRB2","DDAH2"
"305","APH1A","DDAH2"
"306","PSENEN","DDAH2"
"307","PSEN1","DDAH2"
"308","PSEN2","DDAH2"
"309","MIB1","DDAH2"
"310","RPS27A","DDAH2"
"311","ADAM17","DDAH2"
"312","RPS27AP11","DDAH2"
"313","UBA52","DDAH2"
"314","APH1B","DDAH2"
"315","DNER","DDAH2"
"316","ST3GAL6","DDAH2"
"317","TMED2","DDAH2"
"318","POFUT1","DDAH2"
"319","B4GALT1","DDAH2"
"320","MFNG","DDAH2"
"321","ATP2A1","DDAH2"
"322","ATP2A2","DDAH2"
"323","ATP2A3","DDAH2"
"324","FURIN","DDAH2"
"325","POGLUT1","DDAH2"
"326","RAB6A","DDAH2"
"327","SEL1L","DDAH2"
"328","ST3GAL3","DDAH2"
"329","HDAC6","DDAH2"
"330","HDAC5","DDAH2"
"331","CDK8","DDAH2"
"332","HEYL","DDAH2"
"333","HDAC2","DDAH2"
"334","HIF1A","DDAH2"
"335","HES1","DDAH2"
"336","HES5","DDAH2"
"337","HDAC7","DDAH2"
"338","HDAC8","DDAH2"
"339","SKP1","DDAH2"
"340","TBL1X","DDAH2"
"341","TLE1","DDAH2"
"342","TLE2","DDAH2"
"343","TLE3","DDAH2"
"344","TLE4","DDAH2"
"345","TBL1XR1","DDAH2"
"346","HDAC11","DDAH2"
"347","HDAC10","DDAH2"
"348","CUL1","DDAH2"
"349","HDAC3","DDAH2"
"350","CCNC","DDAH2"
"351","NCOR1","DDAH2"
"352","NCOR2","DDAH2"
"353","HDAC9","DDAH2"
"354","HDAC4","DDAH2"
"355","RBX1","DDAH2"
"356","STAT3","DDAH2"
"357","NOD2","DDAH2"
"358","ITGB1BP1","DDAH2"
"359","TSPAN15","DDAH2"
"360","TSPAN17","DDAH2"
"361","GSX2","DDAH2"
"362","NOV","DDAH2"
"363","TSPAN14","DDAH2"
"364","PDCD10","DDAH2"
"365","KIT","DDAH2"
"366","TSPAN10","DDAH2"
"367","TSPAN33","DDAH2"
"368","WNT1","DDAH2"
"369","SLC35C2","DDAH2"
"370","TSPAN5","DDAH2"
"371","C3orf17","DDAH2"
"372","ASCL1","DDAH2"
"373","AAK1","DDAH2"
"374","NOTCH1","DDAH2"
"375","EYA1","DDAH2"
"376","ERH","DDAH2"
"377","FGF10","DDAH2"
"378","MESP1","DDAH2"
"379","HDAC1","AANAT"
"380","PHB2","AANAT"
"381","TAGLN","AANAT"
"382","ITGAV","AANAT"
"383","SLC3A1","AANAT"
"384","CANX","AANAT"
"385","FLOT1","AANAT"
"386","NQO1","AANAT"
"387","PCF11","AANAT"
"388","F2R","AANAT"
"389","LAMB2","AANAT"
"390","CD4","AANAT"
"391","SLC4A3","AANAT"
"392","S100A13","AANAT"
"393","CNTN1","AANAT"
"394","TCAP","AANAT"
"395","STAT5A","AANAT"
"396","ARL6IP5","AANAT"
"397","ANXA6","AANAT"
"398","ABCC8","AANAT"
"399","SLC12A3","AANAT"
"400","COL18A1","AANAT"
"401","HMGCR","AANAT"
"402","SFPQ","AANAT"
"403","SEC62","AANAT"
"404","BRCA1","AANAT"
"405","PSMD10","AANAT"
"406","PTHLH","AANAT"
"407","RBP1","AANAT"
"408","P2RY10","AANAT"
"409","CD69","AANAT"
"410","TARP","AANAT"
"411","CD3D","AANAT"
"412","RAG2","AANAT"
"413","RRAS2","AANAT"
"414","ID2","AANAT"
"415","CD28","AANAT"
"416","GATA3","AANAT"
"417","TRAT1","AANAT"
"418","EGR2","AANAT"
"419","TNFRSF18","AANAT"
"420","LCK","AANAT"
"421","GZMB","AANAT"
"422","BCL2A1","AANAT"
"423","CCR7","AANAT"
"424","CD83","AANAT"
"425","CCL5","AANAT"
"426","TRAF1","AANAT"
"427","IL12B","AANAT"
"428","CX3CL1","AANAT"
"429","RELB","AANAT"
"430","EGR1","AANAT"
"431","CARD11","AANAT"
"432","NFKB2","AANAT"
"433","ICAM1","AANAT"
"434","IRF7","AANAT"
"435","JUNB","AANAT"
"436","IL10RA","AANAT"
"437","CD86","AANAT"
"438","BIRC2","AANAT"
"439","BIRC3","AANAT"
"440","CD80","AANAT"
"441","ZAP70","AANAT"
"442","DDR1","AANAT"
"443","CD7","AANAT"
"444","CD3G","AANAT"
"445","TOX","AANAT"
"446","GZMA","AANAT"
"447","DTX1","AANAT"
"448","LAT","AANAT"
"449","RAG1","AANAT"
"450","PTCRA","AANAT"
"451","CD2","AANAT"
"452","NFATC1","AANAT"
"453","NOTCH3","AANAT"
"454","CD74","AANAT"
"455","THY1","AANAT"
"456","CTLA4","AANAT"
"457","MAMLD1","AANAT"
"458","CREBBP","AANAT"
"459","E2F1","AANAT"
"460","E2F3","AANAT"
"461","EIF2C3","AANAT"
"462","EIF2C4","AANAT"
"463","EP300","AANAT"
"464","SNW1","AANAT"
"465","TNRC6B","AANAT"
"466","KAT2A","AANAT"
"467","EIF2C1","AANAT"
"468","EIF2C2","AANAT"
"469","TNRC6A","AANAT"
"470","RBPJ","AANAT"
"471","JUN","AANAT"
"472","MOV10","AANAT"
"473","LOC441488","AANAT"
"474","NOTCH2","AANAT"
"475","NOTCH4","AANAT"
"476","MAML3","AANAT"
"477","TNRC6C","AANAT"
"478","CCND1","AANAT"
"479","TFDP1","AANAT"
"480","LOC728030","AANAT"
"481","MAML2","AANAT"
"482","KAT2B","AANAT"
"483","MAML1","AANAT"
"484","ADAM10","AANAT"
"485","DTX2","AANAT"
"486","MIB2","AANAT"
"487","JAG1","AANAT"
"488","DTX4","AANAT"
"489","NCSTN","AANAT"
"490","DLL1","AANAT"
"491","JAG2","AANAT"
"492","ARRB1","AANAT"
"493","ARRB2","AANAT"
"494","APH1A","AANAT"
"495","PSENEN","AANAT"
"496","PSEN1","AANAT"
"497","PSEN2","AANAT"
"498","MIB1","AANAT"
"499","RPS27A","AANAT"
"500","ADAM17","AANAT"
"501","RPS27AP11","AANAT"
"502","UBA52","AANAT"
"503","APH1B","AANAT"
"504","DNER","AANAT"
"505","ST3GAL6","AANAT"
"506","TMED2","AANAT"
"507","POFUT1","AANAT"
"508","B4GALT1","AANAT"
"509","MFNG","AANAT"
"510","ATP2A1","AANAT"
"511","ATP2A2","AANAT"
"512","ATP2A3","AANAT"
"513","FURIN","AANAT"
"514","POGLUT1","AANAT"
"515","RAB6A","AANAT"
"516","SEL1L","AANAT"
"517","ST3GAL3","AANAT"
"518","HDAC6","AANAT"
"519","HDAC5","AANAT"
"520","CDK8","AANAT"
"521","HEYL","AANAT"
"522","HDAC2","AANAT"
"523","HIF1A","AANAT"
"524","HES1","AANAT"
"525","HES5","AANAT"
"526","HDAC7","AANAT"
"527","HDAC8","AANAT"
"528","SKP1","AANAT"
"529","TBL1X","AANAT"
"530","TLE1","AANAT"
"531","TLE2","AANAT"
"532","TLE3","AANAT"
"533","TLE4","AANAT"
"534","TBL1XR1","AANAT"
"535","HDAC11","AANAT"
"536","HDAC10","AANAT"
"537","CUL1","AANAT"
"538","HDAC3","AANAT"
"539","CCNC","AANAT"
"540","NCOR1","AANAT"
"541","NCOR2","AANAT"
"542","HDAC9","AANAT"
"543","HDAC4","AANAT"
"544","RBX1","AANAT"
"545","STAT3","AANAT"
"546","NOD2","AANAT"
"547","ITGB1BP1","AANAT"
"548","TSPAN15","AANAT"
"549","TSPAN17","AANAT"
"550","GSX2","AANAT"
"551","NOV","AANAT"
"552","TSPAN14","AANAT"
"553","PDCD10","AANAT"
"554","KIT","AANAT"
"555","TSPAN10","AANAT"
"556","TSPAN33","AANAT"
"557","WNT1","AANAT"
"558","SLC35C2","AANAT"
"559","TSPAN5","AANAT"
"560","C3orf17","AANAT"
"561","ASCL1","AANAT"
"562","AAK1","AANAT"
"563","NOTCH1","AANAT"
"564","EYA1","AANAT"
"565","ERH","AANAT"
"566","FGF10","AANAT"
"567","MESP1","AANAT"
"568","HDAC1","TGM3"
"569","PHB2","TGM3"
"570","TAGLN","TGM3"
"571","ITGAV","TGM3"
"572","SLC3A1","TGM3"
"573","CANX","TGM3"
"574","FLOT1","TGM3"
"575","NQO1","TGM3"
"576","PCF11","TGM3"
"577","F2R","TGM3"
"578","LAMB2","TGM3"
"579","CD4","TGM3"
"580","SLC4A3","TGM3"
"581","S100A13","TGM3"
"582","CNTN1","TGM3"
"583","TCAP","TGM3"
"584","STAT5A","TGM3"
"585","ARL6IP5","TGM3"
"586","ANXA6","TGM3"
"587","ABCC8","TGM3"
"588","SLC12A3","TGM3"
"589","COL18A1","TGM3"
"590","HMGCR","TGM3"
"591","SFPQ","TGM3"
"592","SEC62","TGM3"
"593","BRCA1","TGM3"
"594","PSMD10","TGM3"
"595","PTHLH","TGM3"
"596","RBP1","TGM3"
"597","P2RY10","TGM3"
"598","CD69","TGM3"
"599","TARP","TGM3"
"600","CD3D","TGM3"
"601","RAG2","TGM3"
"602","RRAS2","TGM3"
"603","ID2","TGM3"
"604","CD28","TGM3"
"605","GATA3","TGM3"
"606","TRAT1","TGM3"
"607","EGR2","TGM3"
"608","TNFRSF18","TGM3"
"609","LCK","TGM3"
"610","GZMB","TGM3"
"611","BCL2A1","TGM3"
"612","CCR7","TGM3"
"613","CD83","TGM3"
"614","CCL5","TGM3"
"615","TRAF1","TGM3"
"616","IL12B","TGM3"
"617","CX3CL1","TGM3"
"618","RELB","TGM3"
"619","EGR1","TGM3"
"620","CARD11","TGM3"
"621","NFKB2","TGM3"
"622","ICAM1","TGM3"
"623","IRF7","TGM3"
"624","JUNB","TGM3"
"625","IL10RA","TGM3"
"626","CD86","TGM3"
"627","BIRC2","TGM3"
"628","BIRC3","TGM3"
"629","CD80","TGM3"
"630","ZAP70","TGM3"
"631","DDR1","TGM3"
"632","CD7","TGM3"
"633","CD3G","TGM3"
"634","TOX","TGM3"
"635","GZMA","TGM3"
"636","DTX1","TGM3"
"637","LAT","TGM3"
"638","RAG1","TGM3"
"639","PTCRA","TGM3"
"640","CD2","TGM3"
"641","NFATC1","TGM3"
"642","NOTCH3","TGM3"
"643","CD74","TGM3"
"644","THY1","TGM3"
"645","CTLA4","TGM3"
"646","MAMLD1","TGM3"
"647","CREBBP","TGM3"
"648","E2F1","TGM3"
"649","E2F3","TGM3"
"650","EIF2C3","TGM3"
"651","EIF2C4","TGM3"
"652","EP300","TGM3"
"653","SNW1","TGM3"
"654","TNRC6B","TGM3"
"655","KAT2A","TGM3"
"656","EIF2C1","TGM3"
"657","EIF2C2","TGM3"
"658","TNRC6A","TGM3"
"659","RBPJ","TGM3"
"660","JUN","TGM3"
"661","MOV10","TGM3"
"662","LOC441488","TGM3"
"663","NOTCH2","TGM3"
"664","NOTCH4","TGM3"
"665","MAML3","TGM3"
"666","TNRC6C","TGM3"
"667","CCND1","TGM3"
"668","TFDP1","TGM3"
"669","LOC728030","TGM3"
"670","MAML2","TGM3"
"671","KAT2B","TGM3"
"672","MAML1","TGM3"
"673","ADAM10","TGM3"
"674","DTX2","TGM3"
"675","MIB2","TGM3"
"676","JAG1","TGM3"
"677","DTX4","TGM3"
"678","NCSTN","TGM3"
"679","DLL1","TGM3"
"680","JAG2","TGM3"
"681","ARRB1","TGM3"
"682","ARRB2","TGM3"
"683","APH1A","TGM3"
"684","PSENEN","TGM3"
"685","PSEN1","TGM3"
"686","PSEN2","TGM3"
"687","MIB1","TGM3"
"688","RPS27A","TGM3"
"689","ADAM17","TGM3"
"690","RPS27AP11","TGM3"
"691","UBA52","TGM3"
"692","APH1B","TGM3"
"693","DNER","TGM3"
"694","ST3GAL6","TGM3"
"695","TMED2","TGM3"
"696","POFUT1","TGM3"
"697","B4GALT1","TGM3"
"698","MFNG","TGM3"
"699","ATP2A1","TGM3"
"700","ATP2A2","TGM3"
"701","ATP2A3","TGM3"
"702","FURIN","TGM3"
"703","POGLUT1","TGM3"
"704","RAB6A","TGM3"
"705","SEL1L","TGM3"
"706","ST3GAL3","TGM3"
"707","HDAC6","TGM3"
"708","HDAC5","TGM3"
"709","CDK8","TGM3"
"710","HEYL","TGM3"
"711","HDAC2","TGM3"
"712","HIF1A","TGM3"
"713","HES1","TGM3"
"714","HES5","TGM3"
"715","HDAC7","TGM3"
"716","HDAC8","TGM3"
"717","SKP1","TGM3"
"718","TBL1X","TGM3"
"719","TLE1","TGM3"
"720","TLE2","TGM3"
"721","TLE3","TGM3"
"722","TLE4","TGM3"
"723","TBL1XR1","TGM3"
"724","HDAC11","TGM3"
"725","HDAC10","TGM3"
"726","CUL1","TGM3"
"727","HDAC3","TGM3"
"728","CCNC","TGM3"
"729","NCOR1","TGM3"
"730","NCOR2","TGM3"
"731","HDAC9","TGM3"
"732","HDAC4","TGM3"
"733","RBX1","TGM3"
"734","STAT3","TGM3"
"735","NOD2","TGM3"
"736","ITGB1BP1","TGM3"
"737","TSPAN15","TGM3"
"738","TSPAN17","TGM3"
"739","GSX2","TGM3"
"740","NOV","TGM3"
"741","TSPAN14","TGM3"
"742","PDCD10","TGM3"
"743","KIT","TGM3"
"744","TSPAN10","TGM3"
"745","TSPAN33","TGM3"
"746","WNT1","TGM3"
"747","SLC35C2","TGM3"
"748","TSPAN5","TGM3"
"749","C3orf17","TGM3"
"750","ASCL1","TGM3"
"751","AAK1","TGM3"
"752","NOTCH1","TGM3"
"753","EYA1","TGM3"
"754","ERH","TGM3"
"755","FGF10","TGM3"
"756","MESP1","TGM3"
"757","HDAC1","TNFSF4"
"758","PHB2","TNFSF4"
"759","TAGLN","TNFSF4"
"760","ITGAV","TNFSF4"
"761","SLC3A1","TNFSF4"
"762","CANX","TNFSF4"
"763","FLOT1","TNFSF4"
"764","NQO1","TNFSF4"
"765","PCF11","TNFSF4"
"766","F2R","TNFSF4"
"767","LAMB2","TNFSF4"
"768","CD4","TNFSF4"
"769","SLC4A3","TNFSF4"
"770","S100A13","TNFSF4"
"771","CNTN1","TNFSF4"
"772","TCAP","TNFSF4"
"773","STAT5A","TNFSF4"
"774","ARL6IP5","TNFSF4"
"775","ANXA6","TNFSF4"
"776","ABCC8","TNFSF4"
"777","SLC12A3","TNFSF4"
"778","COL18A1","TNFSF4"
"779","HMGCR","TNFSF4"
"780","SFPQ","TNFSF4"
"781","SEC62","TNFSF4"
"782","BRCA1","TNFSF4"
"783","PSMD10","TNFSF4"
"784","PTHLH","TNFSF4"
"785","RBP1","TNFSF4"
"786","P2RY10","TNFSF4"
"787","CD69","TNFSF4"
"788","TARP","TNFSF4"
"789","CD3D","TNFSF4"
"790","RAG2","TNFSF4"
"791","RRAS2","TNFSF4"
"792","ID2","TNFSF4"
"793","CD28","TNFSF4"
"794","GATA3","TNFSF4"
"795","TRAT1","TNFSF4"
"796","EGR2","TNFSF4"
"797","TNFRSF18","TNFSF4"
"798","LCK","TNFSF4"
"799","GZMB","TNFSF4"
"800","BCL2A1","TNFSF4"
"801","CCR7","TNFSF4"
"802","CD83","TNFSF4"
"803","CCL5","TNFSF4"
"804","TRAF1","TNFSF4"
"805","IL12B","TNFSF4"
"806","CX3CL1","TNFSF4"
"807","RELB","TNFSF4"
"808","EGR1","TNFSF4"
"809","CARD11","TNFSF4"
"810","NFKB2","TNFSF4"
"811","ICAM1","TNFSF4"
"812","IRF7","TNFSF4"
"813","JUNB","TNFSF4"
"814","IL10RA","TNFSF4"
"815","CD86","TNFSF4"
"816","BIRC2","TNFSF4"
"817","BIRC3","TNFSF4"
"818","CD80","TNFSF4"
"819","ZAP70","TNFSF4"
"820","DDR1","TNFSF4"
"821","CD7","TNFSF4"
"822","CD3G","TNFSF4"
"823","TOX","TNFSF4"
"824","GZMA","TNFSF4"
"825","DTX1","TNFSF4"
"826","LAT","TNFSF4"
"827","RAG1","TNFSF4"
"828","PTCRA","TNFSF4"
"829","CD2","TNFSF4"
"830","NFATC1","TNFSF4"
"831","NOTCH3","TNFSF4"
"832","CD74","TNFSF4"
"833","THY1","TNFSF4"
"834","CTLA4","TNFSF4"
"835","MAMLD1","TNFSF4"
"836","CREBBP","TNFSF4"
"837","E2F1","TNFSF4"
"838","E2F3","TNFSF4"
"839","EIF2C3","TNFSF4"
"840","EIF2C4","TNFSF4"
"841","EP300","TNFSF4"
"842","SNW1","TNFSF4"
"843","TNRC6B","TNFSF4"
"844","KAT2A","TNFSF4"
"845","EIF2C1","TNFSF4"
"846","EIF2C2","TNFSF4"
"847","TNRC6A","TNFSF4"
"848","RBPJ","TNFSF4"
"849","JUN","TNFSF4"
"850","MOV10","TNFSF4"
"851","LOC441488","TNFSF4"
"852","NOTCH2","TNFSF4"
"853","NOTCH4","TNFSF4"
"854","MAML3","TNFSF4"
"855","TNRC6C","TNFSF4"
"856","CCND1","TNFSF4"
"857","TFDP1","TNFSF4"
"858","LOC728030","TNFSF4"
"859","MAML2","TNFSF4"
"860","KAT2B","TNFSF4"
"861","MAML1","TNFSF4"
"862","ADAM10","TNFSF4"
"863","DTX2","TNFSF4"
"864","MIB2","TNFSF4"
"865","JAG1","TNFSF4"
"866","DTX4","TNFSF4"
"867","NCSTN","TNFSF4"
"868","DLL1","TNFSF4"
"869","JAG2","TNFSF4"
"870","ARRB1","TNFSF4"
"871","ARRB2","TNFSF4"
"872","APH1A","TNFSF4"
"873","PSENEN","TNFSF4"
"874","PSEN1","TNFSF4"
"875","PSEN2","TNFSF4"
"876","MIB1","TNFSF4"
"877","RPS27A","TNFSF4"
"878","ADAM17","TNFSF4"
"879","RPS27AP11","TNFSF4"
"880","UBA52","TNFSF4"
"881","APH1B","TNFSF4"
"882","DNER","TNFSF4"
"883","ST3GAL6","TNFSF4"
"884","TMED2","TNFSF4"
"885","POFUT1","TNFSF4"
"886","B4GALT1","TNFSF4"
"887","MFNG","TNFSF4"
"888","ATP2A1","TNFSF4"
"889","ATP2A2","TNFSF4"
"890","ATP2A3","TNFSF4"
"891","FURIN","TNFSF4"
"892","POGLUT1","TNFSF4"
"893","RAB6A","TNFSF4"
"894","SEL1L","TNFSF4"
"895","ST3GAL3","TNFSF4"
"896","HDAC6","TNFSF4"
"897","HDAC5","TNFSF4"
"898","CDK8","TNFSF4"
