ProImmune,AntiImmune
PSEN1,LGALS3
IFNA7,LGALS3
IL18R1,LGALS3
FOXP1,LGALS3
PTGER4,LGALS3
IFNK,LGALS3
RC3H2,LGALS3
IFNA14,LGALS3
TSC1,LGALS3
BATF,LGALS3
EIF2AK4,LGALS3
RORC,LGALS3
ICAM1,LGALS3
CD86,LGALS3
STAT6,LGALS3
IFNG,LGALS3
F2RL1,LGALS3
CD1C,LGALS3
ZFPM1,LGALS3
RELB,LGALS3
IFNA1,LGALS3
LEF1,LGALS3
IFNA10,LGALS3
IRF4,LGALS3
FCER1G,LGALS3
ITGAL,LGALS3
BCL3,LGALS3
RORA,LGALS3
EOMES,LGALS3
FADD,LGALS3
IL12A,LGALS3
P2RX7,LGALS3
IL12RB1,LGALS3
PVRL2,LGALS3
IL23R,LGALS3
PVR,LGALS3
HLA-E,LGALS3
HLA-B,LGALS3
NCR3,LGALS3
IL23A,LGALS3
STX7,LGALS3
TMIGD2,LGALS3
EPO,LGALS3
IL2,LGALS3
GPAM,LGALS3
PYCARD,LGALS3
IGF1,LGALS3
HHLA2,LGALS3
TNFSF9,LGALS3
IL2RA,LGALS3
PYDC1,LGALS3
IGF2,LGALS3
IGFBP2,LGALS3
AGER,LGALS3
STAT5B,LGALS3
HSPD1,LGALS3
IL1B,LGALS3
ZBTB1,LGALS3
ZP3,LGALS3
CCR2,LGALS3
SYK,LGALS3
RIPK2,LGALS3
CD83,LGALS3
CD244,LGALS3
NKAP,LGALS3
CD55,LGALS3
AP3D1,LGALS3
CCL19,LGALS3
PRKCQ,LGALS3
RASAL3,LGALS3
NCKAP1L,LGALS3
MYB,LGALS3
PNP,LGALS3
CD80,LGALS3
HSPH1,LGALS3
TGFBR2,LGALS3
ZBTB16,LGALS3
AP3B1,LGALS3
RARA,LGALS3
ITPKB,LGALS3
ADA,LGALS3
CD3E,DUSP22
IL7,DUSP22
IL18,DUSP22
CD276,DUSP22
IL21,DUSP22
SART1,DUSP22
CD47,DUSP22
NCK2,DUSP22
SIRPG,DUSP22
NCK1,DUSP22
LCK,DUSP22
ZAP70,DUSP22
IL12B,DUSP22
CD24,DUSP22
EBI3,DUSP22
ICOSLG,DUSP22
CD28,DUSP22
RAB27A,DUSP22
CLEC4E,DUSP22
IFNE,DUSP22
SLC11A1,DUSP22
IFNA8,DUSP22
LCP1,DUSP22
RPS6,DUSP22
CLEC4D,DUSP22
IFNA13,DUSP22
SLAMF6,DUSP22
IL6,DUSP22
IFNA6,DUSP22
IFNA17,DUSP22
IFNA21,DUSP22
IFNA4,DUSP22
IFNA5,DUSP22
ATP7A,DUSP22
IFNW1,DUSP22
SEMA4A,DUSP22
APBB1IP,DUSP22
LY9,DUSP22
IFNA16,DUSP22
PSEN1,DUSP22
IFNA7,DUSP22
IL18R1,DUSP22
FOXP1,DUSP22
PTGER4,DUSP22
IFNK,DUSP22
RC3H2,DUSP22
IFNA14,DUSP22
TSC1,DUSP22
BATF,DUSP22
EIF2AK4,DUSP22
RORC,DUSP22
ICAM1,DUSP22
CD86,DUSP22
STAT6,DUSP22
IFNG,DUSP22
F2RL1,DUSP22
CD1C,DUSP22
ZFPM1,DUSP22
RELB,DUSP22
IFNA1,DUSP22
LEF1,DUSP22
IFNA10,DUSP22
IRF4,DUSP22
FCER1G,DUSP22
ITGAL,DUSP22
BCL3,DUSP22
RORA,DUSP22
EOMES,DUSP22
FADD,DUSP22
IL12A,DUSP22
P2RX7,DUSP22
IL12RB1,DUSP22
PVRL2,DUSP22
IL23R,DUSP22
PVR,DUSP22
HLA-E,DUSP22
HLA-B,DUSP22
NCR3,DUSP22
IL23A,DUSP22
STX7,DUSP22
TMIGD2,DUSP22
EPO,DUSP22
IL2,DUSP22
GPAM,DUSP22
PYCARD,DUSP22
IGF1,DUSP22
HHLA2,DUSP22
TNFSF9,DUSP22
IL2RA,DUSP22
PYDC1,DUSP22
IGF2,DUSP22
IGFBP2,DUSP22
AGER,DUSP22
STAT5B,DUSP22
HSPD1,DUSP22
IL1B,DUSP22
ZBTB1,DUSP22
ZP3,DUSP22
CCR2,DUSP22
SYK,DUSP22
RIPK2,DUSP22
CD83,DUSP22
CD244,DUSP22
NKAP,DUSP22
CD55,DUSP22
AP3D1,DUSP22
CCL19,DUSP22
PRKCQ,DUSP22
RASAL3,DUSP22
NCKAP1L,DUSP22
MYB,DUSP22
PNP,DUSP22
CD80,DUSP22
HSPH1,DUSP22
TGFBR2,DUSP22
ZBTB16,DUSP22
AP3B1,DUSP22
RARA,DUSP22
ITPKB,DUSP22
ADA,DUSP22
CD3E,PTPN2
IL7,PTPN2
IL18,PTPN2
CD276,PTPN2
IL21,PTPN2
SART1,PTPN2
CD47,PTPN2
NCK2,PTPN2
SIRPG,PTPN2
NCK1,PTPN2
LCK,PTPN2
ZAP70,PTPN2
IL12B,PTPN2
CD24,PTPN2
EBI3,PTPN2
ICOSLG,PTPN2
CD28,PTPN2
RAB27A,PTPN2
CLEC4E,PTPN2
IFNE,PTPN2
SLC11A1,PTPN2
IFNA8,PTPN2
LCP1,PTPN2
RPS6,PTPN2
CLEC4D,PTPN2
IFNA13,PTPN2
SLAMF6,PTPN2
IL6,PTPN2
IFNA6,PTPN2
IFNA17,PTPN2
IFNA21,PTPN2
IFNA4,PTPN2
IFNA5,PTPN2
ATP7A,PTPN2
IFNW1,PTPN2
SEMA4A,PTPN2
APBB1IP,PTPN2
LY9,PTPN2
IFNA16,PTPN2
PSEN1,PTPN2
IFNA7,PTPN2
IL18R1,PTPN2
FOXP1,PTPN2
PTGER4,PTPN2
IFNK,PTPN2
RC3H2,PTPN2
IFNA14,PTPN2
TSC1,PTPN2
BATF,PTPN2
EIF2AK4,PTPN2
RORC,PTPN2
ICAM1,PTPN2
CD86,PTPN2
STAT6,PTPN2
IFNG,PTPN2
F2RL1,PTPN2
CD1C,PTPN2
ZFPM1,PTPN2
RELB,PTPN2
IFNA1,PTPN2
LEF1,PTPN2
IFNA10,PTPN2
IRF4,PTPN2
FCER1G,PTPN2
ITGAL,PTPN2
BCL3,PTPN2
RORA,PTPN2
EOMES,PTPN2
FADD,PTPN2
IL12A,PTPN2
P2RX7,PTPN2
IL12RB1,PTPN2
PVRL2,PTPN2
IL23R,PTPN2
PVR,PTPN2
HLA-E,PTPN2
HLA-B,PTPN2
NCR3,PTPN2
IL23A,PTPN2
STX7,PTPN2
TMIGD2,PTPN2
EPO,PTPN2
IL2,PTPN2
GPAM,PTPN2
PYCARD,PTPN2
IGF1,PTPN2
HHLA2,PTPN2
TNFSF9,PTPN2
IL2RA,PTPN2
PYDC1,PTPN2
IGF2,PTPN2
IGFBP2,PTPN2
AGER,PTPN2
STAT5B,PTPN2
HSPD1,PTPN2
IL1B,PTPN2
ZBTB1,PTPN2
ZP3,PTPN2
CCR2,PTPN2
SYK,PTPN2
RIPK2,PTPN2
CD83,PTPN2
CD244,PTPN2
NKAP,PTPN2
CD55,PTPN2
AP3D1,PTPN2
CCL19,PTPN2
PRKCQ,PTPN2
RASAL3,PTPN2
NCKAP1L,PTPN2
MYB,PTPN2
PNP,PTPN2
CD80,PTPN2
HSPH1,PTPN2
TGFBR2,PTPN2
ZBTB16,PTPN2
AP3B1,PTPN2
RARA,PTPN2
ITPKB,PTPN2
ADA,PTPN2
CD3E,PTPRJ
IL7,PTPRJ
IL18,PTPRJ
CD276,PTPRJ
IL21,PTPRJ
SART1,PTPRJ
CD47,PTPRJ
NCK2,PTPRJ
SIRPG,PTPRJ
NCK1,PTPRJ
LCK,PTPRJ
ZAP70,PTPRJ
IL12B,PTPRJ
CD24,PTPRJ
EBI3,PTPRJ
ICOSLG,PTPRJ
CD28,PTPRJ
RAB27A,PTPRJ
CLEC4E,PTPRJ
IFNE,PTPRJ
SLC11A1,PTPRJ
IFNA8,PTPRJ
LCP1,PTPRJ
RPS6,PTPRJ
CLEC4D,PTPRJ
IFNA13,PTPRJ
SLAMF6,PTPRJ
IL6,PTPRJ
IFNA6,PTPRJ
IFNA17,PTPRJ
IFNA21,PTPRJ
IFNA4,PTPRJ
IFNA5,PTPRJ
ATP7A,PTPRJ
IFNW1,PTPRJ
SEMA4A,PTPRJ
APBB1IP,PTPRJ
LY9,PTPRJ
IFNA16,PTPRJ
PSEN1,PTPRJ
IFNA7,PTPRJ
IL18R1,PTPRJ
FOXP1,PTPRJ
PTGER4,PTPRJ
IFNK,PTPRJ
RC3H2,PTPRJ
IFNA14,PTPRJ
TSC1,PTPRJ
BATF,PTPRJ
EIF2AK4,PTPRJ
RORC,PTPRJ
ICAM1,PTPRJ
CD86,PTPRJ
STAT6,PTPRJ
IFNG,PTPRJ
F2RL1,PTPRJ
CD1C,PTPRJ
ZFPM1,PTPRJ
RELB,PTPRJ
IFNA1,PTPRJ
LEF1,PTPRJ
IFNA10,PTPRJ
IRF4,PTPRJ
FCER1G,PTPRJ
ITGAL,PTPRJ
BCL3,PTPRJ
RORA,PTPRJ
EOMES,PTPRJ
FADD,PTPRJ
IL12A,PTPRJ
P2RX7,PTPRJ
IL12RB1,PTPRJ
PVRL2,PTPRJ
IL23R,PTPRJ
PVR,PTPRJ
HLA-E,PTPRJ
HLA-B,PTPRJ
NCR3,PTPRJ
IL23A,PTPRJ
STX7,PTPRJ
TMIGD2,PTPRJ
EPO,PTPRJ
IL2,PTPRJ
GPAM,PTPRJ
PYCARD,PTPRJ
IGF1,PTPRJ
HHLA2,PTPRJ
TNFSF9,PTPRJ
IL2RA,PTPRJ
PYDC1,PTPRJ
IGF2,PTPRJ
IGFBP2,PTPRJ
AGER,PTPRJ
STAT5B,PTPRJ
HSPD1,PTPRJ
IL1B,PTPRJ
ZBTB1,PTPRJ
ZP3,PTPRJ
CCR2,PTPRJ
SYK,PTPRJ
RIPK2,PTPRJ
CD83,PTPRJ
CD244,PTPRJ
NKAP,PTPRJ
CD55,PTPRJ
AP3D1,PTPRJ
CCL19,PTPRJ
PRKCQ,PTPRJ
RASAL3,PTPRJ
NCKAP1L,PTPRJ
MYB,PTPRJ
PNP,PTPRJ
CD80,PTPRJ
HSPH1,PTPRJ
TGFBR2,PTPRJ
ZBTB16,PTPRJ
AP3B1,PTPRJ
RARA,PTPRJ
ITPKB,PTPRJ
ADA,PTPRJ
CD3E,PAWR
IL7,PAWR
IL18,PAWR
CD276,PAWR
IL21,PAWR
SART1,PAWR
