Pair,REGULATOR,TARGET
TP53_AURKA,TP53,AURKA
TP53_BAZ2A,TP53,BAZ2A
TP53_BTG2,TP53,BTG2
TP53_CELF2,TP53,CELF2
TP53_CLPP,TP53,CLPP
TP53_COL1A1,TP53,COL1A1
TP53_CTPS1,TP53,CTPS1
TP53_DENND4C,TP53,DENND4C
TP53_ENG,TP53,ENG
TP53_GOLIM4,TP53,GOLIM4
TP53_HIST1H2BF,TP53,HIST1H2BF
TP53_HNRNPF,TP53,HNRNPF
TP53_MET,TP53,MET
TP53_MLLT10,TP53,MLLT10
TP53_MORF4L1,TP53,MORF4L1
TP53_MYO5A,TP53,MYO5A
TP53_MYRF,TP53,MYRF
TP53_NDRG1,TP53,NDRG1
TP53_NPAS1,TP53,NPAS1
TP53_PLCD1,TP53,PLCD1
TP53_PTPRJ,TP53,PTPRJ
TP53_QDPR,TP53,QDPR
TP53_QSER1,TP53,QSER1
TP53_RAD21,TP53,RAD21
TP53_RNF111,TP53,RNF111
TP53_SACS,TP53,SACS
TP53_SDK2,TP53,SDK2
TP53_SFPQ,TP53,SFPQ
TP53_SFTPB,TP53,SFTPB
TP53_SIX4,TP53,SIX4
TP53_SLC28A1,TP53,SLC28A1
TP53_SLC35E3,TP53,SLC35E3
TP53_SNRPD1,TP53,SNRPD1
TP53_SON,TP53,SON
TP53_TBCB,TP53,TBCB
TP53_TFRC,TP53,TFRC
TP53_TM4SF5,TP53,TM4SF5
TP53_TMEM214,TP53,TMEM214
TP53_TNIP1,TP53,TNIP1
TP53_UNC45A,TP53,UNC45A
TP53_WDR46,TP53,WDR46
TP53_YTHDF2,TP53,YTHDF2
TP53_ZNF207,TP53,ZNF207
YY1_BAZ2A,YY1,BAZ2A
YY1_BBC3,YY1,BBC3
YY1_BCL10,YY1,BCL10
YY1_C5AR2,YY1,C5AR2
YY1_CAPZB,YY1,CAPZB
YY1_CNR2,YY1,CNR2
YY1_CUL3,YY1,CUL3
YY1_DEGS1,YY1,DEGS1
YY1_DENND4C,YY1,DENND4C
YY1_DNASE2,YY1,DNASE2
YY1_EGLN1,YY1,EGLN1
YY1_GOLIM4,YY1,GOLIM4
YY1_HIST1H2BF,YY1,HIST1H2BF
YY1_HJURP,YY1,HJURP
YY1_HNRNPR,YY1,HNRNPR
YY1_ID3,YY1,ID3
YY1_KIAA1147,YY1,KIAA1147
YY1_LPAR2,YY1,LPAR2
YY1_MYO1A,YY1,MYO1A
YY1_NCL,YY1,NCL
YY1_NPTXR,YY1,NPTXR
YY1_PPAN-P2RY11,YY1,PPAN-P2RY11
YY1_SFMBT1,YY1,SFMBT1
YY1_SNRPD1,YY1,SNRPD1
YY1_SOX30,YY1,SOX30
YY1_SSR2,YY1,SSR2
YY1_TBC1D19,YY1,TBC1D19
YY1_TBCB,YY1,TBCB
YY1_TMEM138,YY1,TMEM138
YY1_TULP1,YY1,TULP1
YY1_YTHDF2,YY1,YTHDF2
ZBTB33_AGFG1,ZBTB33,AGFG1
ZBTB33_ARMC1,ZBTB33,ARMC1
ZBTB33_ASXL2,ZBTB33,ASXL2
ZBTB33_BAZ2A,ZBTB33,BAZ2A
ZBTB33_COL1A1,ZBTB33,COL1A1
ZBTB33_DAZAP1,ZBTB33,DAZAP1
ZBTB33_GATAD2A,ZBTB33,GATAD2A
ZBTB33_HIST1H2BB,ZBTB33,HIST1H2BB
ZBTB33_HIST1H2BF,ZBTB33,HIST1H2BF
ZBTB33_INTS7,ZBTB33,INTS7
ZBTB33_ITFG2,ZBTB33,ITFG2
ZBTB33_MED16,ZBTB33,MED16
ZBTB33_MET,ZBTB33,MET
ZBTB33_MLLT10,ZBTB33,MLLT10
ZBTB33_MTDH,ZBTB33,MTDH
ZBTB33_NCL,ZBTB33,NCL
ZBTB33_NCOR1,ZBTB33,NCOR1
ZBTB33_NONO,ZBTB33,NONO
ZBTB33_NUP98,ZBTB33,NUP98
ZBTB33_PA2G4,ZBTB33,PA2G4
ZBTB33_PSMD1,ZBTB33,PSMD1
ZBTB33_SLC25A11,ZBTB33,SLC25A11
ZBTB33_SRRM1,ZBTB33,SRRM1
ZBTB33_SRRM2,ZBTB33,SRRM2
ZBTB33_TBC1D19,ZBTB33,TBC1D19
ZBTB33_TFRC,ZBTB33,TFRC
ZBTB33_TP53,ZBTB33,TP53
ZBTB33_UBE3C,ZBTB33,UBE3C
ZBTB33_UBQLN4,ZBTB33,UBQLN4
ZBTB33_VEGFA,ZBTB33,VEGFA
