"","ProInfection","AntiInfection"
"5013","DNAJC7","CYTH1"
"5014","ECI2","CYTH1"
"5015","ACLY","CYTH1"
"5016","LGALS1","CYTH1"
"5017","HSD17B8","CYTH1"
"5018","ADD2","CYTH1"
"5019","LGALS3","CYTH1"
"5020","ITGAE","CYTH1"
"5021","GPR56","CYTH1"
"5022","RBPJ","CYTH1"
"5023","DDIT4","CYTH1"
"5024","ISG20","CYTH1"
"5025","RPS25","CYTH1"
"5026","CTSS","CYTH1"
"5027","NFKB2","CYTH1"
"5028","RASL12","CYTH1"
"5029","ATF4","CYTH1"
"5030","IFIT2","CYTH1"
"5031","PDE2A","CYTH1"
"5032","ANPEP","CYTH1"
"5033","BACE2","CYTH1"
"5034","TOP2A","CYTH1"
"5035","MYC","CYTH1"
"5036","ELF3","CYTH1"
"5037","HIST1H2BK","CYTH1"
"5038","FUBP3","CYTH1"
"5039","SH3BP5","CYTH1"
"5040","TSC22D3","CYTH1"
"5041","ALDOC","SNAI2"
"5042","DFNA5","SNAI2"
"5043","NET1","SNAI2"
"5044","CBX1","SNAI2"
"5045","FABP5","SNAI2"
"5046","S100A10","SNAI2"
"5047","GNAI1","SNAI2"
"5048","SOX4","SNAI2"
"5049","APP","SNAI2"
"5050","C5orf13","SNAI2"
"5051","NME1","SNAI2"
"5052","AP2B1","SNAI2"
"5053","VAMP8","SNAI2"
"5054","MAP4K4","SNAI2"
"5055","SAT1","SNAI2"
"5056","CTNNA1","SNAI2"
"5057","PKM2","SNAI2"
"5058","RAB4A","SNAI2"
"5059","IDH2","SNAI2"
"5060","SQRDL","SNAI2"
"5061","DNAJC7","SNAI2"
"5062","ECI2","SNAI2"
"5063","ACLY","SNAI2"
"5064","LGALS1","SNAI2"
"5065","HSD17B8","SNAI2"
"5066","ADD2","SNAI2"
"5067","LGALS3","SNAI2"
"5068","ITGAE","SNAI2"
"5069","GPR56","SNAI2"
"5070","RBPJ","SNAI2"
"5071","DDIT4","SNAI2"
"5072","ISG20","SNAI2"
"5073","RPS25","SNAI2"
"5074","CTSS","SNAI2"
"5075","NFKB2","SNAI2"
"5076","RASL12","SNAI2"
"5077","ATF4","SNAI2"
"5078","IFIT2","SNAI2"
"5079","PDE2A","SNAI2"
"5080","ANPEP","SNAI2"
"5081","BACE2","SNAI2"
"5082","TOP2A","SNAI2"
"5083","MYC","SNAI2"
"5084","ELF3","SNAI2"
"5085","HIST1H2BK","SNAI2"
"5086","FUBP3","SNAI2"
"5087","SH3BP5","SNAI2"
"5088","TSC22D3","SNAI2"
"5089","ALDOC","TNFRSF12A"
"5090","DFNA5","TNFRSF12A"
"5091","NET1","TNFRSF12A"
"5092","CBX1","TNFRSF12A"
"5093","FABP5","TNFRSF12A"
"5094","S100A10","TNFRSF12A"
"5095","GNAI1","TNFRSF12A"
"5096","SOX4","TNFRSF12A"
"5097","APP","TNFRSF12A"
"5098","C5orf13","TNFRSF12A"
"5099","NME1","TNFRSF12A"
"5100","AP2B1","TNFRSF12A"
"5101","VAMP8","TNFRSF12A"
"5102","MAP4K4","TNFRSF12A"
"5103","SAT1","TNFRSF12A"
"5104","CTNNA1","TNFRSF12A"
"5105","PKM2","TNFRSF12A"
"5106","RAB4A","TNFRSF12A"
"5107","IDH2","TNFRSF12A"
"5108","SQRDL","TNFRSF12A"
"5109","DNAJC7","TNFRSF12A"
"5110","ECI2","TNFRSF12A"
"5111","ACLY","TNFRSF12A"
"5112","LGALS1","TNFRSF12A"
"5113","HSD17B8","TNFRSF12A"
"5114","ADD2","TNFRSF12A"
"5115","LGALS3","TNFRSF12A"
"5116","ITGAE","TNFRSF12A"
"5117","GPR56","TNFRSF12A"
"5118","RBPJ","TNFRSF12A"
"5119","DDIT4","TNFRSF12A"
"5120","ISG20","TNFRSF12A"
"5121","RPS25","TNFRSF12A"
"5122","CTSS","TNFRSF12A"
"5123","NFKB2","TNFRSF12A"
"5124","RASL12","TNFRSF12A"
"5125","ATF4","TNFRSF12A"
"5126","IFIT2","TNFRSF12A"
"5127","PDE2A","TNFRSF12A"
"5128","ANPEP","TNFRSF12A"
"5129","BACE2","TNFRSF12A"
"5130","TOP2A","TNFRSF12A"
"5131","MYC","TNFRSF12A"
"5132","ELF3","TNFRSF12A"
"5133","HIST1H2BK","TNFRSF12A"
"5134","FUBP3","TNFRSF12A"
"5135","SH3BP5","TNFRSF12A"
"5136","TSC22D3","TNFRSF12A"
"5137","ALDOC","FHL2"
"5138","DFNA5","FHL2"
"5139","NET1","FHL2"
"5140","CBX1","FHL2"
"5141","FABP5","FHL2"
"5142","S100A10","FHL2"
"5143","GNAI1","FHL2"
"5144","SOX4","FHL2"
"5145","APP","FHL2"
"5146","C5orf13","FHL2"
"5147","NME1","FHL2"
"5148","AP2B1","FHL2"
"5149","VAMP8","FHL2"
"5150","MAP4K4","FHL2"
"5151","SAT1","FHL2"
"5152","CTNNA1","FHL2"
"5153","PKM2","FHL2"
"5154","RAB4A","FHL2"
"5155","IDH2","FHL2"
"5156","SQRDL","FHL2"
"5157","DNAJC7","FHL2"
"5158","ECI2","FHL2"
"5159","ACLY","FHL2"
"5160","LGALS1","FHL2"
"5161","HSD17B8","FHL2"
"5162","ADD2","FHL2"
"5163","LGALS3","FHL2"
"5164","ITGAE","FHL2"
"5165","GPR56","FHL2"
"5166","RBPJ","FHL2"
"5167","DDIT4","FHL2"
"5168","ISG20","FHL2"
"5169","RPS25","FHL2"
"5170","CTSS","FHL2"
"5171","NFKB2","FHL2"
"5172","RASL12","FHL2"
"5173","ATF4","FHL2"
"5174","IFIT2","FHL2"
"5175","PDE2A","FHL2"
"5176","ANPEP","FHL2"
"5177","BACE2","FHL2"
"5178","TOP2A","FHL2"
"5179","MYC","FHL2"
"5180","ELF3","FHL2"
"5181","HIST1H2BK","FHL2"
"5182","FUBP3","FHL2"
"5183","SH3BP5","FHL2"
"5184","TSC22D3","FHL2"
"5185","ALDOC","NR4A1"
"5186","DFNA5","NR4A1"
"5187","NET1","NR4A1"
"5188","CBX1","NR4A1"
"5189","FABP5","NR4A1"
"5190","S100A10","NR4A1"
"5191","GNAI1","NR4A1"
"5192","SOX4","NR4A1"
"5193","APP","NR4A1"
"5194","C5orf13","NR4A1"
"5195","NME1","NR4A1"
"5196","AP2B1","NR4A1"
"5197","VAMP8","NR4A1"
"5198","MAP4K4","NR4A1"
"5199","SAT1","NR4A1"
"5200","CTNNA1","NR4A1"
"5201","PKM2","NR4A1"
"5202","RAB4A","NR4A1"
"5203","IDH2","NR4A1"
"5204","SQRDL","NR4A1"
"5205","DNAJC7","NR4A1"
"5206","ECI2","NR4A1"
"5207","ACLY","NR4A1"
"5208","LGALS1","NR4A1"
"5209","HSD17B8","NR4A1"
"5210","ADD2","NR4A1"
"5211","LGALS3","NR4A1"
"5212","ITGAE","NR4A1"
"5213","GPR56","NR4A1"
"5214","RBPJ","NR4A1"
"5215","DDIT4","NR4A1"
"5216","ISG20","NR4A1"
"5217","RPS25","NR4A1"
"5218","CTSS","NR4A1"
"5219","NFKB2","NR4A1"
"5220","RASL12","NR4A1"
"5221","ATF4","NR4A1"
"5222","IFIT2","NR4A1"
"5223","PDE2A","NR4A1"
"5224","ANPEP","NR4A1"
"5225","BACE2","NR4A1"
"5226","TOP2A","NR4A1"
"5227","MYC","NR4A1"
"5228","ELF3","NR4A1"
"5229","HIST1H2BK","NR4A1"
"5230","FUBP3","NR4A1"
"5231","SH3BP5","NR4A1"
"5232","TSC22D3","NR4A1"
"5233","ALDOC","SRSF1"
"5234","DFNA5","SRSF1"
"5235","NET1","SRSF1"
"5236","CBX1","SRSF1"
"5237","FABP5","SRSF1"
"5238","S100A10","SRSF1"
"5239","GNAI1","SRSF1"
"5240","SOX4","SRSF1"
"5241","APP","SRSF1"
"5242","C5orf13","SRSF1"
"5243","NME1","SRSF1"
"5244","AP2B1","SRSF1"
"5245","VAMP8","SRSF1"
"5246","MAP4K4","SRSF1"
"5247","SAT1","SRSF1"
"5248","CTNNA1","SRSF1"
"5249","PKM2","SRSF1"
"5250","RAB4A","SRSF1"
"5251","IDH2","SRSF1"
"5252","SQRDL","SRSF1"
"5253","DNAJC7","SRSF1"
"5254","ECI2","SRSF1"
"5255","ACLY","SRSF1"
"5256","LGALS1","SRSF1"
"5257","HSD17B8","SRSF1"
"5258","ADD2","SRSF1"
"5259","LGALS3","SRSF1"
"5260","ITGAE","SRSF1"
"5261","GPR56","SRSF1"
"5262","RBPJ","SRSF1"
"5263","DDIT4","SRSF1"
"5264","ISG20","SRSF1"
"5265","RPS25","SRSF1"
"5266","CTSS","SRSF1"
"5267","NFKB2","SRSF1"
"5268","RASL12","SRSF1"
"5269","ATF4","SRSF1"
"5270","IFIT2","SRSF1"
"5271","PDE2A","SRSF1"
"5272","ANPEP","SRSF1"
"5273","BACE2","SRSF1"
"5274","TOP2A","SRSF1"
"5275","MYC","SRSF1"
"5276","ELF3","SRSF1"
"5277","HIST1H2BK","SRSF1"
"5278","FUBP3","SRSF1"
"5279","SH3BP5","SRSF1"
"5280","TSC22D3","SRSF1"
"5281","ALDOC","NFE2L2"
"5282","DFNA5","NFE2L2"
"5283","NET1","NFE2L2"
"5284","CBX1","NFE2L2"
"5285","FABP5","NFE2L2"
"5286","S100A10","NFE2L2"
"5287","GNAI1","NFE2L2"
"5288","SOX4","NFE2L2"
"5289","APP","NFE2L2"
"5290","C5orf13","NFE2L2"
"5291","NME1","NFE2L2"
"5292","AP2B1","NFE2L2"
"5293","VAMP8","NFE2L2"
"5294","MAP4K4","NFE2L2"
"5295","SAT1","NFE2L2"
"5296","CTNNA1","NFE2L2"
"5297","PKM2","NFE2L2"
"5298","RAB4A","NFE2L2"
"5299","IDH2","NFE2L2"
"5300","SQRDL","NFE2L2"
"5301","DNAJC7","NFE2L2"
"5302","ECI2","NFE2L2"
"5303","ACLY","NFE2L2"
"5304","LGALS1","NFE2L2"
"5305","HSD17B8","NFE2L2"
"5306","ADD2","NFE2L2"
"5307","LGALS3","NFE2L2"
"5308","ITGAE","NFE2L2"
"5309","GPR56","NFE2L2"
"5310","RBPJ","NFE2L2"
"5311","DDIT4","NFE2L2"
"5312","ISG20","NFE2L2"
"5313","RPS25","NFE2L2"
"5314","CTSS","NFE2L2"
"5315","NFKB2","NFE2L2"
"5316","RASL12","NFE2L2"
"5317","ATF4","NFE2L2"
"5318","IFIT2","NFE2L2"
"5319","PDE2A","NFE2L2"
"5320","ANPEP","NFE2L2"
"5321","BACE2","NFE2L2"
"5322","TOP2A","NFE2L2"
"5323","MYC","NFE2L2"
"5324","ELF3","NFE2L2"
"5325","HIST1H2BK","NFE2L2"
"5326","FUBP3","NFE2L2"
"5327","SH3BP5","NFE2L2"
"5328","TSC22D3","NFE2L2"
"5329","ALDOC","EFNA1"
"5330","DFNA5","EFNA1"
"5331","NET1","EFNA1"
"5332","CBX1","EFNA1"
"5333","FABP5","EFNA1"
"5334","S100A10","EFNA1"
"5335","GNAI1","EFNA1"
"5336","SOX4","EFNA1"
"5337","APP","EFNA1"
"5338","C5orf13","EFNA1"
"5339","NME1","EFNA1"
"5340","AP2B1","EFNA1"
"5341","VAMP8","EFNA1"
"5342","MAP4K4","EFNA1"
"5343","SAT1","EFNA1"
"5344","CTNNA1","EFNA1"
"5345","PKM2","EFNA1"
"5346","RAB4A","EFNA1"
"5347","IDH2","EFNA1"
"5348","SQRDL","EFNA1"
"5349","DNAJC7","EFNA1"
"5350","ECI2","EFNA1"
"5351","ACLY","EFNA1"
"5352","LGALS1","EFNA1"
"5353","HSD17B8","EFNA1"
"5354","ADD2","EFNA1"
"5355","LGALS3","EFNA1"
"5356","ITGAE","EFNA1"
"5357","GPR56","EFNA1"
"5358","RBPJ","EFNA1"
"5359","DDIT4","EFNA1"
"5360","ISG20","EFNA1"
"5361","RPS25","EFNA1"
"5362","CTSS","EFNA1"
"5363","NFKB2","EFNA1"
"5364","RASL12","EFNA1"
"5365","ATF4","EFNA1"
"5366","IFIT2","EFNA1"
"5367","PDE2A","EFNA1"
"5368","ANPEP","EFNA1"
"5369","BACE2","EFNA1"
"5370","TOP2A","EFNA1"
"5371","MYC","EFNA1"
"5372","ELF3","EFNA1"
"5373","HIST1H2BK","EFNA1"
"5374","FUBP3","EFNA1"
"5375","SH3BP5","EFNA1"
"5376","TSC22D3","EFNA1"
"5377","ALDOC","CYR61"
"5378","DFNA5","CYR61"
"5379","NET1","CYR61"
"5380","CBX1","CYR61"
"5381","FABP5","CYR61"
"5382","S100A10","CYR61"
"5383","GNAI1","CYR61"
"5384","SOX4","CYR61"
"5385","APP","CYR61"
"5386","C5orf13","CYR61"
"5387","NME1","CYR61"
"5388","AP2B1","CYR61"
"5389","VAMP8","CYR61"
"5390","MAP4K4","CYR61"
"5391","SAT1","CYR61"
"5392","CTNNA1","CYR61"
"5393","PKM2","CYR61"
"5394","RAB4A","CYR61"
"5395","IDH2","CYR61"
"5396","SQRDL","CYR61"
"5397","DNAJC7","CYR61"
"5398","ECI2","CYR61"
"5399","ACLY","CYR61"
"5400","LGALS1","CYR61"
"5401","HSD17B8","CYR61"
"5402","ADD2","CYR61"
"5403","LGALS3","CYR61"
"5404","ITGAE","CYR61"
"5405","GPR56","CYR61"
"5406","RBPJ","CYR61"
"5407","DDIT4","CYR61"
"5408","ISG20","CYR61"
"5409","RPS25","CYR61"
"5410","CTSS","CYR61"
"5411","NFKB2","CYR61"
"5412","RASL12","CYR61"
"5413","ATF4","CYR61"
"5414","IFIT2","CYR61"
"5415","PDE2A","CYR61"
"5416","ANPEP","CYR61"
"5417","BACE2","CYR61"
"5418","TOP2A","CYR61"
"5419","MYC","CYR61"
"5420","ELF3","CYR61"
"5421","HIST1H2BK","CYR61"
"5422","FUBP3","CYR61"
"5423","SH3BP5","CYR61"
"5424","TSC22D3","CYR61"
"5425","ALDOC","TXNRD1"
"5426","DFNA5","TXNRD1"
"5427","NET1","TXNRD1"
"5428","CBX1","TXNRD1"
"5429","FABP5","TXNRD1"
"5430","S100A10","TXNRD1"
"5431","GNAI1","TXNRD1"
"5432","SOX4","TXNRD1"
"5433","APP","TXNRD1"
"5434","C5orf13","TXNRD1"
"5435","NME1","TXNRD1"
"5436","AP2B1","TXNRD1"
"5437","VAMP8","TXNRD1"
"5438","MAP4K4","TXNRD1"
"5439","SAT1","TXNRD1"
"5440","CTNNA1","TXNRD1"
"5441","PKM2","TXNRD1"
"5442","RAB4A","TXNRD1"
"5443","IDH2","TXNRD1"
"5444","SQRDL","TXNRD1"
"5445","DNAJC7","TXNRD1"
"5446","ECI2","TXNRD1"
"5447","ACLY","TXNRD1"
"5448","LGALS1","TXNRD1"
"5449","HSD17B8","TXNRD1"
"5450","ADD2","TXNRD1"
"5451","LGALS3","TXNRD1"
"5452","ITGAE","TXNRD1"
"5453","GPR56","TXNRD1"
"5454","RBPJ","TXNRD1"
"5455","DDIT4","TXNRD1"
"5456","ISG20","TXNRD1"
"5457","RPS25","TXNRD1"
"5458","CTSS","TXNRD1"
"5459","NFKB2","TXNRD1"
"5460","RASL12","TXNRD1"
"5461","ATF4","TXNRD1"
"5462","IFIT2","TXNRD1"
"5463","PDE2A","TXNRD1"
"5464","ANPEP","TXNRD1"
"5465","BACE2","TXNRD1"
"5466","TOP2A","TXNRD1"
"5467","MYC","TXNRD1"
"5468","ELF3","TXNRD1"
"5469","HIST1H2BK","TXNRD1"
"5470","FUBP3","TXNRD1"
"5471","SH3BP5","TXNRD1"
"5472","TSC22D3","TXNRD1"
"5473","ALDOC","JUNB"
"5474","DFNA5","JUNB"
"5475","NET1","JUNB"
"5476","CBX1","JUNB"
"5477","FABP5","JUNB"
"5478","S100A10","JUNB"
"5479","GNAI1","JUNB"
"5480","SOX4","JUNB"
"5481","APP","JUNB"
"5482","C5orf13","JUNB"
"5483","NME1","JUNB"
"5484","AP2B1","JUNB"
"5485","VAMP8","JUNB"
"5486","MAP4K4","JUNB"
"5487","SAT1","JUNB"
"5488","CTNNA1","JUNB"
"5489","PKM2","JUNB"
"5490","RAB4A","JUNB"
"5491","IDH2","JUNB"
"5492","SQRDL","JUNB"
"5493","DNAJC7","JUNB"
"5494","ECI2","JUNB"
"5495","ACLY","JUNB"
"5496","LGALS1","JUNB"
"5497","HSD17B8","JUNB"
"5498","ADD2","JUNB"
"5499","LGALS3","JUNB"
"5500","ITGAE","JUNB"
"5501","GPR56","JUNB"
"5502","RBPJ","JUNB"
"5503","DDIT4","JUNB"
"5504","ISG20","JUNB"
"5505","RPS25","JUNB"
"5506","CTSS","JUNB"
"5507","NFKB2","JUNB"
"5508","RASL12","JUNB"
"5509","ATF4","JUNB"
"5510","IFIT2","JUNB"
"5511","PDE2A","JUNB"
"5512","ANPEP","JUNB"
"5513","BACE2","JUNB"
"5514","TOP2A","JUNB"
"5515","MYC","JUNB"
"5516","ELF3","JUNB"
"5517","HIST1H2BK","JUNB"
"5518","FUBP3","JUNB"
"5519","SH3BP5","JUNB"
"5520","TSC22D3","JUNB"
"5521","ALDOC","CD83"
"5522","DFNA5","CD83"
"5523","NET1","CD83"
"5524","CBX1","CD83"
"5525","FABP5","CD83"
"5526","S100A10","CD83"
"5527","GNAI1","CD83"
"5528","SOX4","CD83"
"5529","APP","CD83"
"5530","C5orf13","CD83"
"5531","NME1","CD83"
"5532","AP2B1","CD83"
"5533","VAMP8","CD83"
"5534","MAP4K4","CD83"
"5535","SAT1","CD83"
"5536","CTNNA1","CD83"
"5537","PKM2","CD83"
"5538","RAB4A","CD83"
"5539","IDH2","CD83"
"5540","SQRDL","CD83"
"5541","DNAJC7","CD83"
"5542","ECI2","CD83"
"5543","ACLY","CD83"
"5544","LGALS1","CD83"
"5545","HSD17B8","CD83"
"5546","ADD2","CD83"
"5547","LGALS3","CD83"
"5548","ITGAE","CD83"
"5549","GPR56","CD83"
"5550","RBPJ","CD83"
"5551","DDIT4","CD83"
"5552","ISG20","CD83"
"5553","RPS25","CD83"
"5554","CTSS","CD83"
"5555","NFKB2","CD83"
"5556","RASL12","CD83"
"5557","ATF4","CD83"
"5558","IFIT2","CD83"
"5559","PDE2A","CD83"
"5560","ANPEP","CD83"
"5561","BACE2","CD83"
"5562","TOP2A","CD83"
"5563","MYC","CD83"
"5564","ELF3","CD83"
"5565","HIST1H2BK","CD83"
"5566","FUBP3","CD83"
"5567","SH3BP5","CD83"
"5568","TSC22D3","CD83"
"5569","ALDOC","IL6"
"5570","DFNA5","IL6"
"5571","NET1","IL6"
"5572","CBX1","IL6"
"5573","FABP5","IL6"
"5574","S100A10","IL6"
"5575","GNAI1","IL6"
"5576","SOX4","IL6"
"5577","APP","IL6"
"5578","C5orf13","IL6"
"5579","NME1","IL6"
"5580","AP2B1","IL6"
"5581","VAMP8","IL6"
"5582","MAP4K4","IL6"
"5583","SAT1","IL6"
"5584","CTNNA1","IL6"
"5585","PKM2","IL6"
"5586","RAB4A","IL6"
"5587","IDH2","IL6"
"5588","SQRDL","IL6"
"5589","DNAJC7","IL6"
"5590","ECI2","IL6"
"5591","ACLY","IL6"
"5592","LGALS1","IL6"
"5593","HSD17B8","IL6"
"5594","ADD2","IL6"
"5595","LGALS3","IL6"
"5596","ITGAE","IL6"
"5597","GPR56","IL6"
"5598","RBPJ","IL6"
"5599","DDIT4","IL6"
"5600","ISG20","IL6"
"5601","RPS25","IL6"
"5602","CTSS","IL6"
"5603","NFKB2","IL6"
"5604","RASL12","IL6"
"5605","ATF4","IL6"
"5606","IFIT2","IL6"
"5607","PDE2A","IL6"
"5608","ANPEP","IL6"
"5609","BACE2","IL6"
"5610","TOP2A","IL6"
"5611","MYC","IL6"
"5612","ELF3","IL6"
"5613","HIST1H2BK","IL6"
"5614","FUBP3","IL6"
"5615","SH3BP5","IL6"
"5616","TSC22D3","IL6"
"5617","ALDOC","RND3"
"5618","DFNA5","RND3"
"5619","NET1","RND3"
"5620","CBX1","RND3"
"5621","FABP5","RND3"
"5622","S100A10","RND3"
"5623","GNAI1","RND3"
"5624","SOX4","RND3"
"5625","APP","RND3"
"5626","C5orf13","RND3"
"5627","NME1","RND3"
"5628","AP2B1","RND3"
"5629","VAMP8","RND3"
"5630","MAP4K4","RND3"
"5631","SAT1","RND3"
"5632","CTNNA1","RND3"
"5633","PKM2","RND3"
"5634","RAB4A","RND3"
"5635","IDH2","RND3"
"5636","SQRDL","RND3"
"5637","DNAJC7","RND3"
"5638","ECI2","RND3"
"5639","ACLY","RND3"
"5640","LGALS1","RND3"
"5641","HSD17B8","RND3"
"5642","ADD2","RND3"
"5643","LGALS3","RND3"
"5644","ITGAE","RND3"
"5645","GPR56","RND3"
"5646","RBPJ","RND3"
"5647","DDIT4","RND3"
"5648","ISG20","RND3"
"5649","RPS25","RND3"
"5650","CTSS","RND3"
"5651","NFKB2","RND3"
"5652","RASL12","RND3"
"5653","ATF4","RND3"
"5654","IFIT2","RND3"
"5655","PDE2A","RND3"
"5656","ANPEP","RND3"
"5657","BACE2","RND3"
"5658","TOP2A","RND3"
"5659","MYC","RND3"
"5660","ELF3","RND3"
"5661","HIST1H2BK","RND3"
"5662","FUBP3","RND3"
"5663","SH3BP5","RND3"
"5664","TSC22D3","RND3"
"5665","ALDOC","FUBP1"
"5666","DFNA5","FUBP1"
"5667","NET1","FUBP1"
"5668","CBX1","FUBP1"
"5669","FABP5","FUBP1"
"5670","S100A10","FUBP1"
"5671","GNAI1","FUBP1"
"5672","SOX4","FUBP1"
"5673","APP","FUBP1"
"5674","C5orf13","FUBP1"
"5675","NME1","FUBP1"
"5676","AP2B1","FUBP1"
"5677","VAMP8","FUBP1"
"5678","MAP4K4","FUBP1"
"5679","SAT1","FUBP1"
"5680","CTNNA1","FUBP1"
"5681","PKM2","FUBP1"
"5682","RAB4A","FUBP1"
"5683","IDH2","FUBP1"
"5684","SQRDL","FUBP1"
"5685","DNAJC7","FUBP1"
"5686","ECI2","FUBP1"
"5687","ACLY","FUBP1"
"5688","LGALS1","FUBP1"
"5689","HSD17B8","FUBP1"
"5690","ADD2","FUBP1"
"5691","LGALS3","FUBP1"
"5692","ITGAE","FUBP1"
"5693","GPR56","FUBP1"
"5694","RBPJ","FUBP1"
"5695","DDIT4","FUBP1"
"5696","ISG20","FUBP1"
"5697","RPS25","FUBP1"
"5698","CTSS","FUBP1"
"5699","NFKB2","FUBP1"
"5700","RASL12","FUBP1"
"5701","ATF4","FUBP1"
"5702","IFIT2","FUBP1"
"5703","PDE2A","FUBP1"
"5704","ANPEP","FUBP1"
"5705","BACE2","FUBP1"
"5706","TOP2A","FUBP1"
"5707","MYC","FUBP1"
"5708","ELF3","FUBP1"
"5709","HIST1H2BK","FUBP1"
"5710","FUBP3","FUBP1"
"5711","SH3BP5","FUBP1"
"5712","TSC22D3","FUBP1"
"5713","ALDOC","ELL2"
"5714","DFNA5","ELL2"
"5715","NET1","ELL2"
"5716","CBX1","ELL2"
"5717","FABP5","ELL2"
"5718","S100A10","ELL2"
"5719","GNAI1","ELL2"
"5720","SOX4","ELL2"
"5721","APP","ELL2"
"5722","C5orf13","ELL2"
"5723","NME1","ELL2"
"5724","AP2B1","ELL2"
"5725","VAMP8","ELL2"
"5726","MAP4K4","ELL2"
"5727","SAT1","ELL2"
"5728","CTNNA1","ELL2"
"5729","PKM2","ELL2"
"5730","RAB4A","ELL2"
"5731","IDH2","ELL2"
"5732","SQRDL","ELL2"
"5733","DNAJC7","ELL2"
"5734","ECI2","ELL2"
"5735","ACLY","ELL2"
"5736","LGALS1","ELL2"
"5737","HSD17B8","ELL2"
"5738","ADD2","ELL2"
"5739","LGALS3","ELL2"
"5740","ITGAE","ELL2"
"5741","GPR56","ELL2"
"5742","RBPJ","ELL2"
"5743","DDIT4","ELL2"
"5744","ISG20","ELL2"
"5745","RPS25","ELL2"
"5746","CTSS","ELL2"
"5747","NFKB2","ELL2"
"5748","RASL12","ELL2"
"5749","ATF4","ELL2"
"5750","IFIT2","ELL2"
"5751","PDE2A","ELL2"
"5752","ANPEP","ELL2"
"5753","BACE2","ELL2"
"5754","TOP2A","ELL2"
"5755","MYC","ELL2"
"5756","ELF3","ELL2"
"5757","HIST1H2BK","ELL2"
"5758","FUBP3","ELL2"
"5759","SH3BP5","ELL2"
"5760","TSC22D3","ELL2"
"5761","ALDOC","MFAP2"
"5762","DFNA5","MFAP2"
"5763","NET1","MFAP2"
"5764","CBX1","MFAP2"
"5765","FABP5","MFAP2"
"5766","S100A10","MFAP2"
"5767","GNAI1","MFAP2"
"5768","SOX4","MFAP2"
"5769","APP","MFAP2"
"5770","C5orf13","MFAP2"
"5771","NME1","MFAP2"
"5772","AP2B1","MFAP2"
"5773","VAMP8","MFAP2"
"5774","MAP4K4","MFAP2"
"5775","SAT1","MFAP2"
"5776","CTNNA1","MFAP2"
"5777","PKM2","MFAP2"
"5778","RAB4A","MFAP2"
"5779","IDH2","MFAP2"
"5780","SQRDL","MFAP2"
"5781","DNAJC7","MFAP2"
"5782","ECI2","MFAP2"
"5783","ACLY","MFAP2"
"5784","LGALS1","MFAP2"
"5785","HSD17B8","MFAP2"
"5786","ADD2","MFAP2"
"5787","LGALS3","MFAP2"
"5788","ITGAE","MFAP2"
"5789","GPR56","MFAP2"
"5790","RBPJ","MFAP2"
"5791","DDIT4","MFAP2"
"5792","ISG20","MFAP2"
"5793","RPS25","MFAP2"
"5794","CTSS","MFAP2"
"5795","NFKB2","MFAP2"
"5796","RASL12","MFAP2"
"5797","ATF4","MFAP2"
"5798","IFIT2","MFAP2"
"5799","PDE2A","MFAP2"
"5800","ANPEP","MFAP2"
"5801","BACE2","MFAP2"
"5802","TOP2A","MFAP2"
"5803","MYC","MFAP2"
"5804","ELF3","MFAP2"
"5805","HIST1H2BK","MFAP2"
"5806","FUBP3","MFAP2"
"5807","SH3BP5","MFAP2"
"5808","TSC22D3","MFAP2"
"5809","ALDOC","KRT14"
"5810","DFNA5","KRT14"
"5811","NET1","KRT14"
"5812","CBX1","KRT14"
"5813","FABP5","KRT14"
"5814","S100A10","KRT14"
"5815","GNAI1","KRT14"
"5816","SOX4","KRT14"
"5817","APP","KRT14"
"5818","C5orf13","KRT14"
"5819","NME1","KRT14"
"5820","AP2B1","KRT14"
"5821","VAMP8","KRT14"
"5822","MAP4K4","KRT14"
"5823","SAT1","KRT14"
"5824","CTNNA1","KRT14"
"5825","PKM2","KRT14"
"5826","RAB4A","KRT14"
"5827","IDH2","KRT14"
"5828","SQRDL","KRT14"
"5829","DNAJC7","KRT14"
"5830","ECI2","KRT14"
"5831","ACLY","KRT14"
"5832","LGALS1","KRT14"
"5833","HSD17B8","KRT14"
"5834","ADD2","KRT14"
"5835","LGALS3","KRT14"
"5836","ITGAE","KRT14"
"5837","GPR56","KRT14"
"5838","RBPJ","KRT14"
"5839","DDIT4","KRT14"
"5840","ISG20","KRT14"
"5841","RPS25","KRT14"
"5842","CTSS","KRT14"
"5843","NFKB2","KRT14"
"5844","RASL12","KRT14"
"5845","ATF4","KRT14"
"5846","IFIT2","KRT14"
"5847","PDE2A","KRT14"
"5848","ANPEP","KRT14"
"5849","BACE2","KRT14"
"5850","TOP2A","KRT14"
"5851","MYC","KRT14"
"5852","ELF3","KRT14"
"5853","HIST1H2BK","KRT14"
"5854","FUBP3","KRT14"
"5855","SH3BP5","KRT14"
"5856","TSC22D3","KRT14"
"5857","ALDOC","MAP2K3"
"5858","DFNA5","MAP2K3"
"5859","NET1","MAP2K3"
"5860","CBX1","MAP2K3"
"5861","FABP5","MAP2K3"
"5862","S100A10","MAP2K3"
"5863","GNAI1","MAP2K3"
"5864","SOX4","MAP2K3"
"5865","APP","MAP2K3"
"5866","C5orf13","MAP2K3"
"5867","NME1","MAP2K3"
"5868","AP2B1","MAP2K3"
"5869","VAMP8","MAP2K3"
