"","ProDiabetes","AntiDiabetes"
"3832","CYBB","ADAMTS5"
"3833","PRPF6","ADAMTS5"
"3834","SRSF9","ADAMTS5"
"3835","EHD4","ADAMTS5"
"3836","PUF60","ADAMTS5"
"3837","DUSP1","ADAMTS5"
"3838","PHF21A","ADAMTS5"
"3839","TSC22D3","ADAMTS5"
"3840","ALDOA","ADAMTS5"
"3841","HBEGF","ADAMTS5"
"3842","PAK2","ADAMTS5"
"3843","MARCKS","ADAMTS5"
"3844","FCAR","ADAMTS5"
"3845","AMDHD2","ADAMTS5"
"3846","MRPL12","ADAMTS5"
"3847","MAFB","ADAMTS5"
"3848","JUNB","ADAMTS5"
"3849","EREG","ADAMTS5"
"3850","LSM12","ADAMTS5"
"3851","POTEKP","ADAMTS5"
"3852","SOCS3","ADAMTS5"
"3853","SOCS1","ADAMTS5"
"3854","ACTR2","ADAMTS5"
"3855","CDC37","ADAMTS5"
"3856","ELMO1","ADAMTS5"
"3857","TESK2","ADAMTS5"
"3858","HNRNPA3","ADAMTS5"
"3859","GSN","ADAMTS5"
"3860","FPR2","ADAMTS5"
"3861","RAB8A","ADAMTS5"
"3862","PPIF","ADAMTS5"
"3863","STX11","ADAMTS5"
"3864","NSD1","ADAMTS5"
"3865","HNRNPK","ADAMTS5"
"3866","CTSD","ADAMTS5"
"3867","PABPC4","ADAMTS5"
"3868","P4HB","ADAMTS5"
"3869","COPS7B","ADAMTS5"
"3870","C19orf60","ADAMTS5"
"3871","PRCC","ADAMTS5"
"3872","RRP12","ADAMTS5"
"3873","PDIA4","HBXIP"
"3874","CHFR","HBXIP"
"3875","CDK9","HBXIP"
"3876","AAMP","HBXIP"
"3877","RPN1","HBXIP"
"3878","WDR18","HBXIP"
"3879","DDX3X","HBXIP"
"3880","BLK","HBXIP"
"3881","FZR1","HBXIP"
"3882","SAFB","HBXIP"
"3883","CXCR4","HBXIP"
"3884","NDUFV1","HBXIP"
"3885","ODF2","HBXIP"
"3886","UQCRC1","HBXIP"
"3887","PDIA3","HBXIP"
"3888","GPI","HBXIP"
"3889","TPD52L2","HBXIP"
"3890","THOC6","HBXIP"
"3891","HSPA9","HBXIP"
"3892","HSPA5","HBXIP"
"3893","GPAA1","HBXIP"
"3894","SAFB2","HBXIP"
"3895","HNRNPA1","HBXIP"
"3896","ZFP36L1","HBXIP"
"3897","GBAP1","HBXIP"
"3898","RBM3","HBXIP"
"3899","CCDC22","HBXIP"
"3900","PTX3","HBXIP"
"3901","RTN3","HBXIP"
"3902","KDELR2","HBXIP"
"3903","COPG","HBXIP"
"3904","HERPUD1","HBXIP"
"3905","GLUD1","HBXIP"
"3906","DDIT4","HBXIP"
"3907","ARF6","HBXIP"
"3908","HNRNPU","HBXIP"
"3909","TSPAN14","HBXIP"
"3910","HMGB2","HBXIP"
"3911","SART1","HBXIP"
"3912","CDT1","HBXIP"
"3913","MAPRE1","HBXIP"
"3914","YWHAZ","HBXIP"
"3915","PPP4C","HBXIP"
"3916","HYOU1","HBXIP"
"3917","GLUL","HBXIP"
"3918","RAB1B","HBXIP"
"3919","ICAM3","HBXIP"
"3920","CYBB","HBXIP"
"3921","PRPF6","HBXIP"
"3922","SRSF9","HBXIP"
"3923","EHD4","HBXIP"
"3924","PUF60","HBXIP"
"3925","DUSP1","HBXIP"
"3926","PHF21A","HBXIP"
"3927","TSC22D3","HBXIP"
"3928","ALDOA","HBXIP"
"3929","HBEGF","HBXIP"
"3930","PAK2","HBXIP"
"3931","MARCKS","HBXIP"
"3932","FCAR","HBXIP"
"3933","AMDHD2","HBXIP"
"3934","MRPL12","HBXIP"
"3935","MAFB","HBXIP"
"3936","JUNB","HBXIP"
"3937","EREG","HBXIP"
"3938","LSM12","HBXIP"
"3939","POTEKP","HBXIP"
"3940","SOCS3","HBXIP"
"3941","SOCS1","HBXIP"
"3942","ACTR2","HBXIP"
"3943","CDC37","HBXIP"
"3944","ELMO1","HBXIP"
"3945","TESK2","HBXIP"
"3946","HNRNPA3","HBXIP"
"3947","GSN","HBXIP"
"3948","FPR2","HBXIP"
"3949","RAB8A","HBXIP"
"3950","PPIF","HBXIP"
"3951","STX11","HBXIP"
"3952","NSD1","HBXIP"
"3953","HNRNPK","HBXIP"
"3954","CTSD","HBXIP"
"3955","PABPC4","HBXIP"
"3956","P4HB","HBXIP"
"3957","COPS7B","HBXIP"
"3958","C19orf60","HBXIP"
"3959","PRCC","HBXIP"
"3960","RRP12","HBXIP"
"3961","PDIA4","MYL10"
"3962","CHFR","MYL10"
"3963","CDK9","MYL10"
"3964","AAMP","MYL10"
"3965","RPN1","MYL10"
"3966","WDR18","MYL10"
"3967","DDX3X","MYL10"
"3968","BLK","MYL10"
"3969","FZR1","MYL10"
"3970","SAFB","MYL10"
"3971","CXCR4","MYL10"
"3972","NDUFV1","MYL10"
"3973","ODF2","MYL10"
"3974","UQCRC1","MYL10"
"3975","PDIA3","MYL10"
"3976","GPI","MYL10"
"3977","TPD52L2","MYL10"
"3978","THOC6","MYL10"
"3979","HSPA9","MYL10"
"3980","HSPA5","MYL10"
"3981","GPAA1","MYL10"
"3982","SAFB2","MYL10"
"3983","HNRNPA1","MYL10"
"3984","ZFP36L1","MYL10"
"3985","GBAP1","MYL10"
"3986","RBM3","MYL10"
"3987","CCDC22","MYL10"
"3988","PTX3","MYL10"
"3989","RTN3","MYL10"
"3990","KDELR2","MYL10"
"3991","COPG","MYL10"
"3992","HERPUD1","MYL10"
"3993","GLUD1","MYL10"
"3994","DDIT4","MYL10"
"3995","ARF6","MYL10"
"3996","HNRNPU","MYL10"
"3997","TSPAN14","MYL10"
"3998","HMGB2","MYL10"
"3999","SART1","MYL10"
"4000","CDT1","MYL10"
"4001","MAPRE1","MYL10"
"4002","YWHAZ","MYL10"
"4003","PPP4C","MYL10"
"4004","HYOU1","MYL10"
"4005","GLUL","MYL10"
"4006","RAB1B","MYL10"
"4007","ICAM3","MYL10"
"4008","CYBB","MYL10"
"4009","PRPF6","MYL10"
"4010","SRSF9","MYL10"
"4011","EHD4","MYL10"
"4012","PUF60","MYL10"
"4013","DUSP1","MYL10"
"4014","PHF21A","MYL10"
"4015","TSC22D3","MYL10"
"4016","ALDOA","MYL10"
"4017","HBEGF","MYL10"
"4018","PAK2","MYL10"
"4019","MARCKS","MYL10"
"4020","FCAR","MYL10"
"4021","AMDHD2","MYL10"
"4022","MRPL12","MYL10"
"4023","MAFB","MYL10"
"4024","JUNB","MYL10"
"4025","EREG","MYL10"
"4026","LSM12","MYL10"
"4027","POTEKP","MYL10"
"4028","SOCS3","MYL10"
"4029","SOCS1","MYL10"
"4030","ACTR2","MYL10"
"4031","CDC37","MYL10"
"4032","ELMO1","MYL10"
"4033","TESK2","MYL10"
"4034","HNRNPA3","MYL10"
"4035","GSN","MYL10"
"4036","FPR2","MYL10"
"4037","RAB8A","MYL10"
"4038","PPIF","MYL10"
"4039","STX11","MYL10"
"4040","NSD1","MYL10"
"4041","HNRNPK","MYL10"
"4042","CTSD","MYL10"
"4043","PABPC4","MYL10"
"4044","P4HB","MYL10"
"4045","COPS7B","MYL10"
"4046","C19orf60","MYL10"
"4047","PRCC","MYL10"
"4048","RRP12","MYL10"
"4049","PDIA4","C11orf16"
"4050","CHFR","C11orf16"
"4051","CDK9","C11orf16"
"4052","AAMP","C11orf16"
"4053","RPN1","C11orf16"
"4054","WDR18","C11orf16"
"4055","DDX3X","C11orf16"
"4056","BLK","C11orf16"
"4057","FZR1","C11orf16"
"4058","SAFB","C11orf16"
"4059","CXCR4","C11orf16"
"4060","NDUFV1","C11orf16"
"4061","ODF2","C11orf16"
"4062","UQCRC1","C11orf16"
"4063","PDIA3","C11orf16"
"4064","GPI","C11orf16"
"4065","TPD52L2","C11orf16"
"4066","THOC6","C11orf16"
"4067","HSPA9","C11orf16"
"4068","HSPA5","C11orf16"
"4069","GPAA1","C11orf16"
"4070","SAFB2","C11orf16"
"4071","HNRNPA1","C11orf16"
"4072","ZFP36L1","C11orf16"
"4073","GBAP1","C11orf16"
"4074","RBM3","C11orf16"
"4075","CCDC22","C11orf16"
"4076","PTX3","C11orf16"
"4077","RTN3","C11orf16"
"4078","KDELR2","C11orf16"
"4079","COPG","C11orf16"
"4080","HERPUD1","C11orf16"
"4081","GLUD1","C11orf16"
"4082","DDIT4","C11orf16"
"4083","ARF6","C11orf16"
"4084","HNRNPU","C11orf16"
"4085","TSPAN14","C11orf16"
"4086","HMGB2","C11orf16"
"4087","SART1","C11orf16"
"4088","CDT1","C11orf16"
"4089","MAPRE1","C11orf16"
"4090","YWHAZ","C11orf16"
"4091","PPP4C","C11orf16"
"4092","HYOU1","C11orf16"
"4093","GLUL","C11orf16"
"4094","RAB1B","C11orf16"
"4095","ICAM3","C11orf16"
"4096","CYBB","C11orf16"
"4097","PRPF6","C11orf16"
"4098","SRSF9","C11orf16"
"4099","EHD4","C11orf16"
"4100","PUF60","C11orf16"
"4101","DUSP1","C11orf16"
"4102","PHF21A","C11orf16"
"4103","TSC22D3","C11orf16"
"4104","ALDOA","C11orf16"
"4105","HBEGF","C11orf16"
"4106","PAK2","C11orf16"
"4107","MARCKS","C11orf16"
"4108","FCAR","C11orf16"
"4109","AMDHD2","C11orf16"
"4110","MRPL12","C11orf16"
"4111","MAFB","C11orf16"
"4112","JUNB","C11orf16"
"4113","EREG","C11orf16"
"4114","LSM12","C11orf16"
"4115","POTEKP","C11orf16"
"4116","SOCS3","C11orf16"
"4117","SOCS1","C11orf16"
"4118","ACTR2","C11orf16"
"4119","CDC37","C11orf16"
"4120","ELMO1","C11orf16"
"4121","TESK2","C11orf16"
"4122","HNRNPA3","C11orf16"
"4123","GSN","C11orf16"
"4124","FPR2","C11orf16"
"4125","RAB8A","C11orf16"
"4126","PPIF","C11orf16"
"4127","STX11","C11orf16"
"4128","NSD1","C11orf16"
"4129","HNRNPK","C11orf16"
"4130","CTSD","C11orf16"
"4131","PABPC4","C11orf16"
"4132","P4HB","C11orf16"
"4133","COPS7B","C11orf16"
"4134","C19orf60","C11orf16"
"4135","PRCC","C11orf16"
"4136","RRP12","C11orf16"
"4137","PDIA4","EIF2S2"
"4138","CHFR","EIF2S2"
"4139","CDK9","EIF2S2"
"4140","AAMP","EIF2S2"
"4141","RPN1","EIF2S2"
"4142","WDR18","EIF2S2"
"4143","DDX3X","EIF2S2"
"4144","BLK","EIF2S2"
"4145","FZR1","EIF2S2"
"4146","SAFB","EIF2S2"
"4147","CXCR4","EIF2S2"
"4148","NDUFV1","EIF2S2"
"4149","ODF2","EIF2S2"
"4150","UQCRC1","EIF2S2"
"4151","PDIA3","EIF2S2"
"4152","GPI","EIF2S2"
"4153","TPD52L2","EIF2S2"
"4154","THOC6","EIF2S2"
"4155","HSPA9","EIF2S2"
"4156","HSPA5","EIF2S2"
"4157","GPAA1","EIF2S2"
"4158","SAFB2","EIF2S2"
"4159","HNRNPA1","EIF2S2"
"4160","ZFP36L1","EIF2S2"
"4161","GBAP1","EIF2S2"
"4162","RBM3","EIF2S2"
"4163","CCDC22","EIF2S2"
"4164","PTX3","EIF2S2"
"4165","RTN3","EIF2S2"
"4166","KDELR2","EIF2S2"
"4167","COPG","EIF2S2"
"4168","HERPUD1","EIF2S2"
"4169","GLUD1","EIF2S2"
"4170","DDIT4","EIF2S2"
"4171","ARF6","EIF2S2"
"4172","HNRNPU","EIF2S2"
"4173","TSPAN14","EIF2S2"
"4174","HMGB2","EIF2S2"
"4175","SART1","EIF2S2"
"4176","CDT1","EIF2S2"
"4177","MAPRE1","EIF2S2"
"4178","YWHAZ","EIF2S2"
"4179","PPP4C","EIF2S2"
"4180","HYOU1","EIF2S2"
"4181","GLUL","EIF2S2"
"4182","RAB1B","EIF2S2"
"4183","ICAM3","EIF2S2"
"4184","CYBB","EIF2S2"
"4185","PRPF6","EIF2S2"
"4186","SRSF9","EIF2S2"
"4187","EHD4","EIF2S2"
"4188","PUF60","EIF2S2"
"4189","DUSP1","EIF2S2"
"4190","PHF21A","EIF2S2"
"4191","TSC22D3","EIF2S2"
"4192","ALDOA","EIF2S2"
"4193","HBEGF","EIF2S2"
"4194","PAK2","EIF2S2"
"4195","MARCKS","EIF2S2"
"4196","FCAR","EIF2S2"
"4197","AMDHD2","EIF2S2"
"4198","MRPL12","EIF2S2"
"4199","MAFB","EIF2S2"
"4200","JUNB","EIF2S2"
"4201","EREG","EIF2S2"
"4202","LSM12","EIF2S2"
"4203","POTEKP","EIF2S2"
"4204","SOCS3","EIF2S2"
"4205","SOCS1","EIF2S2"
"4206","ACTR2","EIF2S2"
"4207","CDC37","EIF2S2"
"4208","ELMO1","EIF2S2"
"4209","TESK2","EIF2S2"
"4210","HNRNPA3","EIF2S2"
"4211","GSN","EIF2S2"
"4212","FPR2","EIF2S2"
"4213","RAB8A","EIF2S2"
"4214","PPIF","EIF2S2"
"4215","STX11","EIF2S2"
"4216","NSD1","EIF2S2"
"4217","HNRNPK","EIF2S2"
"4218","CTSD","EIF2S2"
"4219","PABPC4","EIF2S2"
"4220","P4HB","EIF2S2"
"4221","COPS7B","EIF2S2"
"4222","C19orf60","EIF2S2"
"4223","PRCC","EIF2S2"
"4224","RRP12","EIF2S2"
"4225","PDIA4","POU3F1"
"4226","CHFR","POU3F1"
"4227","CDK9","POU3F1"
"4228","AAMP","POU3F1"
"4229","RPN1","POU3F1"
"4230","WDR18","POU3F1"
"4231","DDX3X","POU3F1"
"4232","BLK","POU3F1"
"4233","FZR1","POU3F1"
"4234","SAFB","POU3F1"
"4235","CXCR4","POU3F1"
"4236","NDUFV1","POU3F1"
"4237","ODF2","POU3F1"
"4238","UQCRC1","POU3F1"
"4239","PDIA3","POU3F1"
"4240","GPI","POU3F1"
"4241","TPD52L2","POU3F1"
"4242","THOC6","POU3F1"
"4243","HSPA9","POU3F1"
"4244","HSPA5","POU3F1"
"4245","GPAA1","POU3F1"
"4246","SAFB2","POU3F1"
"4247","HNRNPA1","POU3F1"
"4248","ZFP36L1","POU3F1"
"4249","GBAP1","POU3F1"
"4250","RBM3","POU3F1"
"4251","CCDC22","POU3F1"
"4252","PTX3","POU3F1"
"4253","RTN3","POU3F1"
"4254","KDELR2","POU3F1"
"4255","COPG","POU3F1"
"4256","HERPUD1","POU3F1"
"4257","GLUD1","POU3F1"
"4258","DDIT4","POU3F1"
"4259","ARF6","POU3F1"
"4260","HNRNPU","POU3F1"
"4261","TSPAN14","POU3F1"
"4262","HMGB2","POU3F1"
"4263","SART1","POU3F1"
"4264","CDT1","POU3F1"
"4265","MAPRE1","POU3F1"
"4266","YWHAZ","POU3F1"
"4267","PPP4C","POU3F1"
"4268","HYOU1","POU3F1"
"4269","GLUL","POU3F1"
"4270","RAB1B","POU3F1"
"4271","ICAM3","POU3F1"
"4272","CYBB","POU3F1"
"4273","PRPF6","POU3F1"
"4274","SRSF9","POU3F1"
"4275","EHD4","POU3F1"
"4276","PUF60","POU3F1"
"4277","DUSP1","POU3F1"
"4278","PHF21A","POU3F1"
"4279","TSC22D3","POU3F1"
"4280","ALDOA","POU3F1"
"4281","HBEGF","POU3F1"
"4282","PAK2","POU3F1"
"4283","MARCKS","POU3F1"
"4284","FCAR","POU3F1"
"4285","AMDHD2","POU3F1"
"4286","MRPL12","POU3F1"
"4287","MAFB","POU3F1"
"4288","JUNB","POU3F1"
"4289","EREG","POU3F1"
"4290","LSM12","POU3F1"
"4291","POTEKP","POU3F1"
"4292","SOCS3","POU3F1"
"4293","SOCS1","POU3F1"
"4294","ACTR2","POU3F1"
"4295","CDC37","POU3F1"
"4296","ELMO1","POU3F1"
"4297","TESK2","POU3F1"
"4298","HNRNPA3","POU3F1"
"4299","GSN","POU3F1"
"4300","FPR2","POU3F1"
"4301","RAB8A","POU3F1"
"4302","PPIF","POU3F1"
"4303","STX11","POU3F1"
"4304","NSD1","POU3F1"
"4305","HNRNPK","POU3F1"
"4306","CTSD","POU3F1"
"4307","PABPC4","POU3F1"
"4308","P4HB","POU3F1"
"4309","COPS7B","POU3F1"
"4310","C19orf60","POU3F1"
"4311","PRCC","POU3F1"
"4312","RRP12","POU3F1"
"4313","PDIA4","RABEPK"
"4314","CHFR","RABEPK"
"4315","CDK9","RABEPK"
"4316","AAMP","RABEPK"
"4317","RPN1","RABEPK"
"4318","WDR18","RABEPK"
"4319","DDX3X","RABEPK"
"4320","BLK","RABEPK"
"4321","FZR1","RABEPK"
"4322","SAFB","RABEPK"
"4323","CXCR4","RABEPK"
"4324","NDUFV1","RABEPK"
"4325","ODF2","RABEPK"
"4326","UQCRC1","RABEPK"
"4327","PDIA3","RABEPK"
"4328","GPI","RABEPK"
"4329","TPD52L2","RABEPK"
"4330","THOC6","RABEPK"
"4331","HSPA9","RABEPK"
"4332","HSPA5","RABEPK"
"4333","GPAA1","RABEPK"
"4334","SAFB2","RABEPK"
"4335","HNRNPA1","RABEPK"
"4336","ZFP36L1","RABEPK"
"4337","GBAP1","RABEPK"
"4338","RBM3","RABEPK"
"4339","CCDC22","RABEPK"
"4340","PTX3","RABEPK"
"4341","RTN3","RABEPK"
"4342","KDELR2","RABEPK"
"4343","COPG","RABEPK"
"4344","HERPUD1","RABEPK"
"4345","GLUD1","RABEPK"
"4346","DDIT4","RABEPK"
"4347","ARF6","RABEPK"
"4348","HNRNPU","RABEPK"
"4349","TSPAN14","RABEPK"
"4350","HMGB2","RABEPK"
"4351","SART1","RABEPK"
"4352","CDT1","RABEPK"
"4353","MAPRE1","RABEPK"
"4354","YWHAZ","RABEPK"
"4355","PPP4C","RABEPK"
"4356","HYOU1","RABEPK"
"4357","GLUL","RABEPK"
"4358","RAB1B","RABEPK"
"4359","ICAM3","RABEPK"
"4360","CYBB","RABEPK"
"4361","PRPF6","RABEPK"
"4362","SRSF9","RABEPK"
"4363","EHD4","RABEPK"
"4364","PUF60","RABEPK"
"4365","DUSP1","RABEPK"
"4366","PHF21A","RABEPK"
"4367","TSC22D3","RABEPK"
"4368","ALDOA","RABEPK"
"4369","HBEGF","RABEPK"
"4370","PAK2","RABEPK"
"4371","MARCKS","RABEPK"
"4372","FCAR","RABEPK"
"4373","AMDHD2","RABEPK"
"4374","MRPL12","RABEPK"
"4375","MAFB","RABEPK"
"4376","JUNB","RABEPK"
"4377","EREG","RABEPK"
"4378","LSM12","RABEPK"
"4379","POTEKP","RABEPK"
"4380","SOCS3","RABEPK"
"4381","SOCS1","RABEPK"
"4382","ACTR2","RABEPK"
"4383","CDC37","RABEPK"
"4384","ELMO1","RABEPK"
"4385","TESK2","RABEPK"
"4386","HNRNPA3","RABEPK"
"4387","GSN","RABEPK"
"4388","FPR2","RABEPK"
"4389","RAB8A","RABEPK"
"4390","PPIF","RABEPK"
"4391","STX11","RABEPK"
"4392","NSD1","RABEPK"
"4393","HNRNPK","RABEPK"
"4394","CTSD","RABEPK"
"4395","PABPC4","RABEPK"
"4396","P4HB","RABEPK"
"4397","COPS7B","RABEPK"
"4398","C19orf60","RABEPK"
"4399","PRCC","RABEPK"
"4400","RRP12","RABEPK"
"4401","PDIA4","IER3IP1"
"4402","CHFR","IER3IP1"
"4403","CDK9","IER3IP1"
"4404","AAMP","IER3IP1"
"4405","RPN1","IER3IP1"
"4406","WDR18","IER3IP1"
"4407","DDX3X","IER3IP1"
"4408","BLK","IER3IP1"
"4409","FZR1","IER3IP1"
"4410","SAFB","IER3IP1"
"4411","CXCR4","IER3IP1"
"4412","NDUFV1","IER3IP1"
"4413","ODF2","IER3IP1"
"4414","UQCRC1","IER3IP1"
"4415","PDIA3","IER3IP1"
"4416","GPI","IER3IP1"
"4417","TPD52L2","IER3IP1"
"4418","THOC6","IER3IP1"
"4419","HSPA9","IER3IP1"
"4420","HSPA5","IER3IP1"
"4421","GPAA1","IER3IP1"
"4422","SAFB2","IER3IP1"
"4423","HNRNPA1","IER3IP1"
"4424","ZFP36L1","IER3IP1"
"4425","GBAP1","IER3IP1"
"4426","RBM3","IER3IP1"
"4427","CCDC22","IER3IP1"
"4428","PTX3","IER3IP1"
"4429","RTN3","IER3IP1"
"4430","KDELR2","IER3IP1"
"4431","COPG","IER3IP1"
"4432","HERPUD1","IER3IP1"
"4433","GLUD1","IER3IP1"
"4434","DDIT4","IER3IP1"
"4435","ARF6","IER3IP1"
"4436","HNRNPU","IER3IP1"
"4437","TSPAN14","IER3IP1"
"4438","HMGB2","IER3IP1"
"4439","SART1","IER3IP1"
"4440","CDT1","IER3IP1"
"4441","MAPRE1","IER3IP1"
"4442","YWHAZ","IER3IP1"
"4443","PPP4C","IER3IP1"
"4444","HYOU1","IER3IP1"
"4445","GLUL","IER3IP1"
"4446","RAB1B","IER3IP1"
"4447","ICAM3","IER3IP1"
"4448","CYBB","IER3IP1"
"4449","PRPF6","IER3IP1"
"4450","SRSF9","IER3IP1"
"4451","EHD4","IER3IP1"
"4452","PUF60","IER3IP1"
"4453","DUSP1","IER3IP1"
"4454","PHF21A","IER3IP1"
"4455","TSC22D3","IER3IP1"
"4456","ALDOA","IER3IP1"
"4457","HBEGF","IER3IP1"
"4458","PAK2","IER3IP1"
"4459","MARCKS","IER3IP1"
"4460","FCAR","IER3IP1"
"4461","AMDHD2","IER3IP1"
"4462","MRPL12","IER3IP1"
"4463","MAFB","IER3IP1"
"4464","JUNB","IER3IP1"
"4465","EREG","IER3IP1"
"4466","LSM12","IER3IP1"
"4467","POTEKP","IER3IP1"
"4468","SOCS3","IER3IP1"
"4469","SOCS1","IER3IP1"
"4470","ACTR2","IER3IP1"
"4471","CDC37","IER3IP1"
"4472","ELMO1","IER3IP1"
"4473","TESK2","IER3IP1"
"4474","HNRNPA3","IER3IP1"
"4475","GSN","IER3IP1"
"4476","FPR2","IER3IP1"
"4477","RAB8A","IER3IP1"
"4478","PPIF","IER3IP1"
"4479","STX11","IER3IP1"
"4480","NSD1","IER3IP1"
"4481","HNRNPK","IER3IP1"
"4482","CTSD","IER3IP1"
"4483","PABPC4","IER3IP1"
"4484","P4HB","IER3IP1"
"4485","COPS7B","IER3IP1"
"4486","C19orf60","IER3IP1"
"4487","PRCC","IER3IP1"
"4488","RRP12","IER3IP1"
"4489","PDIA4","MPV17"
"4490","CHFR","MPV17"
"4491","CDK9","MPV17"
"4492","AAMP","MPV17"
"4493","RPN1","MPV17"
"4494","WDR18","MPV17"
"4495","DDX3X","MPV17"
"4496","BLK","MPV17"
"4497","FZR1","MPV17"
"4498","SAFB","MPV17"
"4499","CXCR4","MPV17"
"4500","NDUFV1","MPV17"
"4501","ODF2","MPV17"
"4502","UQCRC1","MPV17"
"4503","PDIA3","MPV17"
"4504","GPI","MPV17"
"4505","TPD52L2","MPV17"
"4506","THOC6","MPV17"
"4507","HSPA9","MPV17"
"4508","HSPA5","MPV17"
"4509","GPAA1","MPV17"
"4510","SAFB2","MPV17"
"4511","HNRNPA1","MPV17"
"4512","ZFP36L1","MPV17"
"4513","GBAP1","MPV17"
"4514","RBM3","MPV17"
"4515","CCDC22","MPV17"
"4516","PTX3","MPV17"
"4517","RTN3","MPV17"
"4518","KDELR2","MPV17"
"4519","COPG","MPV17"
"4520","HERPUD1","MPV17"
"4521","GLUD1","MPV17"
"4522","DDIT4","MPV17"
"4523","ARF6","MPV17"
"4524","HNRNPU","MPV17"
"4525","TSPAN14","MPV17"
"4526","HMGB2","MPV17"
"4527","SART1","MPV17"
"4528","CDT1","MPV17"
"4529","MAPRE1","MPV17"
"4530","YWHAZ","MPV17"
"4531","PPP4C","MPV17"
"4532","HYOU1","MPV17"
"4533","GLUL","MPV17"
"4534","RAB1B","MPV17"
"4535","ICAM3","MPV17"
"4536","CYBB","MPV17"
"4537","PRPF6","MPV17"
"4538","SRSF9","MPV17"
"4539","EHD4","MPV17"
"4540","PUF60","MPV17"
"4541","DUSP1","MPV17"
"4542","PHF21A","MPV17"
"4543","TSC22D3","MPV17"
"4544","ALDOA","MPV17"
"4545","HBEGF","MPV17"
"4546","PAK2","MPV17"
"4547","MARCKS","MPV17"
"4548","FCAR","MPV17"
"4549","AMDHD2","MPV17"
"4550","MRPL12","MPV17"
"4551","MAFB","MPV17"
"4552","JUNB","MPV17"
"4553","EREG","MPV17"
"4554","LSM12","MPV17"
"4555","POTEKP","MPV17"
"4556","SOCS3","MPV17"
"4557","SOCS1","MPV17"
"4558","ACTR2","MPV17"
"4559","CDC37","MPV17"
"4560","ELMO1","MPV17"
"4561","TESK2","MPV17"
"4562","HNRNPA3","MPV17"
"4563","GSN","MPV17"
"4564","FPR2","MPV17"
"4565","RAB8A","MPV17"
"4566","PPIF","MPV17"
"4567","STX11","MPV17"
"4568","NSD1","MPV17"
"4569","HNRNPK","MPV17"
"4570","CTSD","MPV17"
"4571","PABPC4","MPV17"
"4572","P4HB","MPV17"
"4573","COPS7B","MPV17"
"4574","C19orf60","MPV17"
"4575","PRCC","MPV17"
"4576","RRP12","MPV17"
"4577","PDIA4","MCCC1"
"4578","CHFR","MCCC1"
"4579","CDK9","MCCC1"
"4580","AAMP","MCCC1"
"4581","RPN1","MCCC1"
"4582","WDR18","MCCC1"
"4583","DDX3X","MCCC1"
"4584","BLK","MCCC1"
"4585","FZR1","MCCC1"
"4586","SAFB","MCCC1"
"4587","CXCR4","MCCC1"
"4588","NDUFV1","MCCC1"
"4589","ODF2","MCCC1"
"4590","UQCRC1","MCCC1"
"4591","PDIA3","MCCC1"
"4592","GPI","MCCC1"
"4593","TPD52L2","MCCC1"
"4594","THOC6","MCCC1"
"4595","HSPA9","MCCC1"
"4596","HSPA5","MCCC1"
"4597","GPAA1","MCCC1"
"4598","SAFB2","MCCC1"
"4599","HNRNPA1","MCCC1"
"4600","ZFP36L1","MCCC1"
"4601","GBAP1","MCCC1"
"4602","RBM3","MCCC1"
"4603","CCDC22","MCCC1"
"4604","PTX3","MCCC1"
"4605","RTN3","MCCC1"
"4606","KDELR2","MCCC1"
"4607","COPG","MCCC1"
"4608","HERPUD1","MCCC1"
"4609","GLUD1","MCCC1"
"4610","DDIT4","MCCC1"
"4611","ARF6","MCCC1"
"4612","HNRNPU","MCCC1"
"4613","TSPAN14","MCCC1"
"4614","HMGB2","MCCC1"
"4615","SART1","MCCC1"
"4616","CDT1","MCCC1"
"4617","MAPRE1","MCCC1"
"4618","YWHAZ","MCCC1"
"4619","PPP4C","MCCC1"
"4620","HYOU1","MCCC1"
"4621","GLUL","MCCC1"
"4622","RAB1B","MCCC1"
"4623","ICAM3","MCCC1"
"4624","CYBB","MCCC1"
"4625","PRPF6","MCCC1"
"4626","SRSF9","MCCC1"
"4627","EHD4","MCCC1"
"4628","PUF60","MCCC1"
"4629","DUSP1","MCCC1"
"4630","PHF21A","MCCC1"
"4631","TSC22D3","MCCC1"
"4632","ALDOA","MCCC1"
"4633","HBEGF","MCCC1"
"4634","PAK2","MCCC1"
"4635","MARCKS","MCCC1"
"4636","FCAR","MCCC1"
"4637","AMDHD2","MCCC1"
"4638","MRPL12","MCCC1"
"4639","MAFB","MCCC1"
"4640","JUNB","MCCC1"
"4641","EREG","MCCC1"
"4642","LSM12","MCCC1"
"4643","POTEKP","MCCC1"
"4644","SOCS3","MCCC1"
"4645","SOCS1","MCCC1"
"4646","ACTR2","MCCC1"
"4647","CDC37","MCCC1"
"4648","ELMO1","MCCC1"
"4649","TESK2","MCCC1"
"4650","HNRNPA3","MCCC1"
"4651","GSN","MCCC1"
"4652","FPR2","MCCC1"
"4653","RAB8A","MCCC1"
"4654","PPIF","MCCC1"
"4655","STX11","MCCC1"
"4656","NSD1","MCCC1"
"4657","HNRNPK","MCCC1"
"4658","CTSD","MCCC1"
"4659","PABPC4","MCCC1"
"4660","P4HB","MCCC1"
"4661","COPS7B","MCCC1"
"4662","C19orf60","MCCC1"
"4663","PRCC","MCCC1"
"4664","RRP12","MCCC1"
"4665","PDIA4","TTC1"
