"","proMYC","antiMYC"
"1","ATP2B4","NFYA"
"2","EMP1","NFYA"
"3","PTRH2","NFYA"
"4","TUBA1A","NFYA"
"5","NGFR","NFYA"
"6","ADAMTS15","NFYA"
"7","DGKA","NFYA"
"8","C12orf66","NFYA"
"9","LSG1","NFYA"
"10","CIRH1A","NFYA"
"11","ZBED2","NFYA"
"12","UBE2D4","NFYA"
"13","RABEPK","NFYA"
"14","BCS1L","NFYA"
"15","ACSS2","NFYA"
"16","CDK4","NFYA"
"17","RHBDF1","NFYA"
"18","HK2","NFYA"
"19","RUNX1","NFYA"
"20","PFKM","NFYA"
"21","AIMP2","NFYA"
"22","LOC646762","NFYA"
"23","ERVMER341","NFYA"
"24","SFXN4","NFYA"
"25","SLC19A1","NFYA"
"26","MYBBP1A","NFYA"
"27","HIST1H2AC","NFYA"
"28","TGM1","NFYA"
"29","ADAM8","NFYA"
"30","NOLC1","NFYA"
"31","FGD6","NFYA"
"32","CCDC137","NFYA"
"33","FGF11","NFYA"
"34","CYTH2","NFYA"
"35","HSPD1","NFYA"
"36","PNPT1","NFYA"
"37","FLJ10661","NFYA"
"38","DCAF4","NFYA"
"39","DHODH","NFYA"
"40","TGM2","NFYA"
"41","COL5A1","NFYA"
"42","IRF9","NFYA"
"43","IPO4","NFYA"
"44","TNFAIP2","NFYA"
"45","TRMT1","NFYA"
"46","MCOLN2","NFYA"
"47","TCOF1","NFYA"
"48","GPD1L","NFYA"
"49","IMP4","NFYA"
"50","PCOLCE2","NFYA"
"51","FLAD1","NFYA"
"52","NOP56","NFYA"
"53","NFKB2","NFYA"
"54","OSBP2","NFYA"
"55","AKAP12","NFYA"
"56","C1orf51","NFYA"
"57","SPTAN1","NFYA"
"58","ALS2CL","NFYA"
"59","PMM2","NFYA"
"60","RNF213","NFYA"
"61","PHB","NFYA"
"62","C11orf48","NFYA"
"63","HSPA6","NFYA"
"64","PA2G4","NFYA"
"65","RRP9","NFYA"
"66","DDAH2","NFYA"
"67","DDX26B","NFYA"
"68","NLE1","NFYA"
"69","KCNQ5","NFYA"
"70","DDX28","NFYA"
"71","STMN3","NFYA"
"72","DDX10","NFYA"
"73","SORD","NFYA"
"74","UTP20","NFYA"
"75","TINF2","NFYA"
"76","TMEM97","NFYA"
"77","ZNF667","NFYA"
"78","TTLL12","NFYA"
"79","DAB2","NFYA"
"80","OR2A4","NFYA"
"81","PRR5","NFYA"
"82","MEG3","NFYA"
"83","FAM195A","NFYA"
"84","BID","NFYA"
"85","XPO5","NFYA"
"86","TRIOBP","NFYA"
"87","PLAU","NFYA"
"88","PLEKHG2","NFYA"
"89","KIAA1609","NFYA"
"90","FAM86B1","NFYA"
"91","MKNK1","NFYA"
"92","CDK2","NFYA"
"93","PLEC","NFYA"
"94","COL1A1","NFYA"
"95","MAP3K6","NFYA"
"96","UBIAD1","NFYA"
"97","ERBB3","NFYA"
"98","FARSA","NFYA"
"99","DTX2P1UPK3BP1PMS2P11","NFYA"
"100","AGPAT5","NFYA"
"101","PLD6","NFYA"
"102","ARNTL","NFYA"
"103","SLC6A8","NFYA"
"104","FAM168A","NFYA"
"105","LOC730755","NFYA"
"106","SMTN","NFYA"
"107","ABCC3","NFYA"
"108","PHF1","NFYA"
"109","NDE1","NFYA"
"110","DHRS1","NFYA"
"111","KHNYN","NFYA"
"112","EPS8L1","NFYA"
"113","ANGEL1","NFYA"
"114","GPR110","NFYA"
"115","COL8A2","NFYA"
"116","SORL1","NFYA"
"117","ANAPC1","NFYA"
"118","SESTD1","NFYA"
"119","RPP40","NFYA"
"120","FGFBP1","NFYA"
"121","NUFIP1","NFYA"
"122","ERCC1","NFYA"
"123","ALG3","NFYA"
"124","MTMR11","NFYA"
"125","CCNG2","NFYA"
"126","NLRP1","NFYA"
"127","ABL2","NFYA"
"128","SRM","NFYA"
"129","SCFD2","NFYA"
"130","GNL3","NFYA"
"131","GPATCH4","NFYA"
"132","ALDH1B1","NFYA"
"133","PAICS","NFYA"
"134","NOL6","NFYA"
"135","VMP1","NFYA"
"136","NTF4","NFYA"
"137","NCL","NFYA"
"138","SLC12A8","NFYA"
"139","HS6ST2","NFYA"
"140","GPRC5A","NFYA"
"141","NIT1","NFYA"
"142","FAM193B","NFYA"
"143","DUOX1","NFYA"
"144","BOP1","NFYA"
"145","MST1R","NFYA"
"146","WSB1","NFYA"
"147","GOLGA2","NFYA"
"148","LTBP2","NFYA"
"149","AHNAK","NFYA"
"150","LINC00173","NFYA"
"151","GEMIN5","NFYA"
"152","PC","NFYA"
"153","MICAL1","NFYA"
"154","BEND3","NFYA"
"155","MIR21","NFYA"
"156","DUSP22","NFYA"
"157","CGN","NFYA"
"158","C10orf2","NFYA"
"159","SUPV3L1","NFYA"
"160","DIEXF","NFYA"
"161","FCHSD1","NFYA"
"162","VAMP1","NFYA"
"163","YPEL3","NFYA"
"164","CDCA8","NFYA"
"165","TAF4B","NFYA"
"166","CCDC78","NFYA"
"167","FAM100A","NFYA"
"168","NPM1","NFYA"
"169","TFB2M","NFYA"
"170","DKC1","NFYA"
"171","PDLIM7","NFYA"
"172","DUSP2","NFYA"
"173","ARNTL2","NFYA"
"174","PES1","NFYA"
"175","SSH3","NFYA"
"176","FARSB","NFYA"
"177","C19orf48","NFYA"
"178","C20orf27","NFYA"
"179","WDR12","NFYA"
"180","SERPINB1","NFYA"
"181","MON1A","NFYA"
"182","SMURF1","NFYA"
"183","PCYOX1L","NFYA"
"184","NRP1","NFYA"
"185","SLC6A15","NFYA"
"186","MRTO4","NFYA"
"187","FAM86C1","NFYA"
"188","ATIC","NFYA"
"189","SLITRK6","NFYA"
"190","B7H6","NFYA"
"191","CCDC86","NFYA"
"192","SLC29A2","NFYA"
"193","SNHG1","NFYA"
"194","LAMC2","NFYA"
"195","DDX18","NFYA"
"196","EXOSC5","NFYA"
"197","ECE2","NFYA"
"198","NOP16","NFYA"
"199","WDR74","NFYA"
"200","UTP14A","NFYA"
"201","NOP2","NFYA"
"202","METTL1","NFYA"
"203","RCL1","NFYA"
"204","PDP1","NFYA"
"205","BAX","NFYA"
"206","TK1","NFYA"
"207","TAF9","NFYA"
"208","RUVBL2","NFYA"
"209","HMGA1","NFYA"
"210","KAT5","NFYA"
"211","ENO1","NFYA"
"212","CDC25A","NFYA"
"213","E2F3","NFYA"
"214","PRDX3","NFYA"
"215","ODC1","NFYA"
"216","PTMA","NFYA"
"217","SNAI1","NFYA"
"218","KAT2A","NFYA"
"219","SERPINI1","NFYA"
"220","HSP90AA1","NFYA"
"221","MMP9","NFYA"
"222","LIN28B","NFYA"
"223","NME1","NFYA"
"224","TERT","NFYA"
"225","RPL11","NFYA"
"226","PIM1","NFYA"
"227","TAF10","NFYA"
"228","RUVBL1","NFYA"
"229","BMI1","NFYA"
"230","SLC2A1","NFYA"
"231","TAF12","NFYA"
"232","BIRC5","NFYA"
"233","BCAT1","NFYA"
"234","KIR3DL1","NFYA"
"235","SUPT7L","NFYA"
"236","LDHA","NFYA"
"237","TRRAP","NFYA"
"238","IREB2","NFYA"
"239","TP53","NFYA"
"240","CAD","NFYA"
"241","MTDH","NFYA"
"242","FOSL1","NFYA"
"243","GPAM","NFYA"
"244","GAPDH","NFYA"
"245","HSPA4","NFYA"
"246","SUPT3H","NFYA"
"247","POLR3D","NFYA"
"248","SHMT1","NFYA"
"249","CREBBP","NFYA"
"250","CCND2","NFYA"
"251","PEG10","NFYA"
"252","EIF4G1","NFYA"
"253","NBN","NFYA"
"254","MYCT1","NFYA"
"255","PDCD10","NFYA"
"256","MINA","NFYA"
"257","NDUFAF2","NFYA"
"258","PMAIP1","NFYA"
"259","HUWE1","NFYA"
"260","ACTL6A","NFYA"
"261","RCC1","NFYA"
"262","NME2","NFYA"
"263","CCNB1","NFYA"
"264","CDCA7","NFYA"
"265","UBTF","NFYA"
"266","TFRC","NFYA"
"267","EIF4A1","NFYA"
"268","EIF4E","NFYA"
"269","MTA1","NFYA"
"270","EIF2S1","NFYA"
"271","NDUFAF4","NFYA"
"272","NOC4L","NFYA"
"273","WDR43","NFYA"
"274","TBRG4","NFYA"
"275","NIP7","NFYA"
"276","BYSL","NFYA"
"277","PLK4","NFYA"
"278","PPAN","NFYA"
"279","RRP12","NFYA"
"280","PPRC1","NFYA"
"281","MCM5","NFYA"
"282","CBX3","NFYA"
"283","PLK1","NFYA"
"284","MCM4","NFYA"
"285","PRMT3","NFYA"
"286","LAS1L","NFYA"
"287","PUS1","NFYA"
"288","HSPE1","NFYA"
"289","DCTPP1","NFYA"
"290","GRWD1","NFYA"
"291","UNG","NFYA"
"292","MPHOSPH10","NFYA"
"293","ATP2B4","HDAC3"
"294","EMP1","HDAC3"
"295","PTRH2","HDAC3"
"296","TUBA1A","HDAC3"
"297","NGFR","HDAC3"
"298","ADAMTS15","HDAC3"
"299","DGKA","HDAC3"
"300","C12orf66","HDAC3"
"301","LSG1","HDAC3"
"302","CIRH1A","HDAC3"
"303","ZBED2","HDAC3"
"304","UBE2D4","HDAC3"
"305","RABEPK","HDAC3"
"306","BCS1L","HDAC3"
"307","ACSS2","HDAC3"
"308","CDK4","HDAC3"
"309","RHBDF1","HDAC3"
"310","HK2","HDAC3"
"311","RUNX1","HDAC3"
"312","PFKM","HDAC3"
"313","AIMP2","HDAC3"
"314","LOC646762","HDAC3"
"315","ERVMER341","HDAC3"
"316","SFXN4","HDAC3"
"317","SLC19A1","HDAC3"
"318","MYBBP1A","HDAC3"
"319","HIST1H2AC","HDAC3"
"320","TGM1","HDAC3"
"321","ADAM8","HDAC3"
"322","NOLC1","HDAC3"
"323","FGD6","HDAC3"
"324","CCDC137","HDAC3"
"325","FGF11","HDAC3"
"326","CYTH2","HDAC3"
"327","HSPD1","HDAC3"
"328","PNPT1","HDAC3"
"329","FLJ10661","HDAC3"
"330","DCAF4","HDAC3"
"331","DHODH","HDAC3"
"332","TGM2","HDAC3"
"333","COL5A1","HDAC3"
"334","IRF9","HDAC3"
"335","IPO4","HDAC3"
"336","TNFAIP2","HDAC3"
"337","TRMT1","HDAC3"
"338","MCOLN2","HDAC3"
"339","TCOF1","HDAC3"
"340","GPD1L","HDAC3"
"341","IMP4","HDAC3"
"342","PCOLCE2","HDAC3"
"343","FLAD1","HDAC3"
"344","NOP56","HDAC3"
"345","NFKB2","HDAC3"
"346","OSBP2","HDAC3"
"347","AKAP12","HDAC3"
"348","C1orf51","HDAC3"
"349","SPTAN1","HDAC3"
"350","ALS2CL","HDAC3"
"351","PMM2","HDAC3"
"352","RNF213","HDAC3"
"353","PHB","HDAC3"
"354","C11orf48","HDAC3"
"355","HSPA6","HDAC3"
"356","PA2G4","HDAC3"
"357","RRP9","HDAC3"
"358","DDAH2","HDAC3"
"359","DDX26B","HDAC3"
"360","NLE1","HDAC3"
"361","KCNQ5","HDAC3"
"362","DDX28","HDAC3"
"363","STMN3","HDAC3"
"364","DDX10","HDAC3"
"365","SORD","HDAC3"
"366","UTP20","HDAC3"
"367","TINF2","HDAC3"
"368","TMEM97","HDAC3"
"369","ZNF667","HDAC3"
"370","TTLL12","HDAC3"
"371","DAB2","HDAC3"
"372","OR2A4","HDAC3"
"373","PRR5","HDAC3"
"374","MEG3","HDAC3"
"375","FAM195A","HDAC3"
"376","BID","HDAC3"
"377","XPO5","HDAC3"
"378","TRIOBP","HDAC3"
"379","PLAU","HDAC3"
"380","PLEKHG2","HDAC3"
"381","KIAA1609","HDAC3"
"382","FAM86B1","HDAC3"
"383","MKNK1","HDAC3"
"384","CDK2","HDAC3"
"385","PLEC","HDAC3"
"386","COL1A1","HDAC3"
"387","MAP3K6","HDAC3"
"388","UBIAD1","HDAC3"
"389","ERBB3","HDAC3"
"390","FARSA","HDAC3"
"391","DTX2P1UPK3BP1PMS2P11","HDAC3"
"392","AGPAT5","HDAC3"
"393","PLD6","HDAC3"
"394","ARNTL","HDAC3"
"395","SLC6A8","HDAC3"
"396","FAM168A","HDAC3"
"397","LOC730755","HDAC3"
"398","SMTN","HDAC3"
"399","ABCC3","HDAC3"
"400","PHF1","HDAC3"
"401","NDE1","HDAC3"
"402","DHRS1","HDAC3"
"403","KHNYN","HDAC3"
"404","EPS8L1","HDAC3"
"405","ANGEL1","HDAC3"
"406","GPR110","HDAC3"
"407","COL8A2","HDAC3"
"408","SORL1","HDAC3"
"409","ANAPC1","HDAC3"
"410","SESTD1","HDAC3"
"411","RPP40","HDAC3"
"412","FGFBP1","HDAC3"
"413","NUFIP1","HDAC3"
"414","ERCC1","HDAC3"
"415","ALG3","HDAC3"
"416","MTMR11","HDAC3"
"417","CCNG2","HDAC3"
"418","NLRP1","HDAC3"
"419","ABL2","HDAC3"
"420","SRM","HDAC3"
"421","SCFD2","HDAC3"
"422","GNL3","HDAC3"
"423","GPATCH4","HDAC3"
"424","ALDH1B1","HDAC3"
"425","PAICS","HDAC3"
"426","NOL6","HDAC3"
"427","VMP1","HDAC3"
"428","NTF4","HDAC3"
"429","NCL","HDAC3"
"430","SLC12A8","HDAC3"
"431","HS6ST2","HDAC3"
"432","GPRC5A","HDAC3"
"433","NIT1","HDAC3"
"434","FAM193B","HDAC3"
"435","DUOX1","HDAC3"
"436","BOP1","HDAC3"
"437","MST1R","HDAC3"
"438","WSB1","HDAC3"
"439","GOLGA2","HDAC3"
"440","LTBP2","HDAC3"
"441","AHNAK","HDAC3"
"442","LINC00173","HDAC3"
"443","GEMIN5","HDAC3"
"444","PC","HDAC3"
"445","MICAL1","HDAC3"
"446","BEND3","HDAC3"
"447","MIR21","HDAC3"
"448","DUSP22","HDAC3"
"449","CGN","HDAC3"
"450","C10orf2","HDAC3"
"451","SUPV3L1","HDAC3"
"452","DIEXF","HDAC3"
"453","FCHSD1","HDAC3"
"454","VAMP1","HDAC3"
"455","YPEL3","HDAC3"
"456","CDCA8","HDAC3"
"457","TAF4B","HDAC3"
"458","CCDC78","HDAC3"
"459","FAM100A","HDAC3"
"460","NPM1","HDAC3"
"461","TFB2M","HDAC3"
"462","DKC1","HDAC3"
"463","PDLIM7","HDAC3"
"464","DUSP2","HDAC3"
"465","ARNTL2","HDAC3"
"466","PES1","HDAC3"
"467","SSH3","HDAC3"
"468","FARSB","HDAC3"
"469","C19orf48","HDAC3"
"470","C20orf27","HDAC3"
"471","WDR12","HDAC3"
"472","SERPINB1","HDAC3"
"473","MON1A","HDAC3"
"474","SMURF1","HDAC3"
"475","PCYOX1L","HDAC3"
"476","NRP1","HDAC3"
"477","SLC6A15","HDAC3"
"478","MRTO4","HDAC3"
"479","FAM86C1","HDAC3"
"480","ATIC","HDAC3"
"481","SLITRK6","HDAC3"
"482","B7H6","HDAC3"
"483","CCDC86","HDAC3"
"484","SLC29A2","HDAC3"
"485","SNHG1","HDAC3"
"486","LAMC2","HDAC3"
"487","DDX18","HDAC3"
"488","EXOSC5","HDAC3"
"489","ECE2","HDAC3"
"490","NOP16","HDAC3"
"491","WDR74","HDAC3"
"492","UTP14A","HDAC3"
"493","NOP2","HDAC3"
"494","METTL1","HDAC3"
"495","RCL1","HDAC3"
"496","PDP1","HDAC3"
"497","BAX","HDAC3"
"498","TK1","HDAC3"
"499","TAF9","HDAC3"
"500","RUVBL2","HDAC3"
"501","HMGA1","HDAC3"
"502","KAT5","HDAC3"
"503","ENO1","HDAC3"
"504","CDC25A","HDAC3"
"505","E2F3","HDAC3"
"506","PRDX3","HDAC3"
"507","ODC1","HDAC3"
"508","PTMA","HDAC3"
"509","SNAI1","HDAC3"
"510","KAT2A","HDAC3"
"511","SERPINI1","HDAC3"
"512","HSP90AA1","HDAC3"
"513","MMP9","HDAC3"
"514","LIN28B","HDAC3"
"515","NME1","HDAC3"
"516","TERT","HDAC3"
"517","RPL11","HDAC3"
"518","PIM1","HDAC3"
"519","TAF10","HDAC3"
"520","RUVBL1","HDAC3"
"521","BMI1","HDAC3"
"522","SLC2A1","HDAC3"
"523","TAF12","HDAC3"
"524","BIRC5","HDAC3"
"525","BCAT1","HDAC3"
"526","KIR3DL1","HDAC3"
"527","SUPT7L","HDAC3"
"528","LDHA","HDAC3"
"529","TRRAP","HDAC3"
"530","IREB2","HDAC3"
"531","TP53","HDAC3"
"532","CAD","HDAC3"
"533","MTDH","HDAC3"
"534","FOSL1","HDAC3"
"535","GPAM","HDAC3"
"536","GAPDH","HDAC3"
"537","HSPA4","HDAC3"
"538","SUPT3H","HDAC3"
"539","POLR3D","HDAC3"
"540","SHMT1","HDAC3"
"541","CREBBP","HDAC3"
"542","CCND2","HDAC3"
"543","PEG10","HDAC3"
"544","EIF4G1","HDAC3"
"545","NBN","HDAC3"
"546","MYCT1","HDAC3"
"547","PDCD10","HDAC3"
"548","MINA","HDAC3"
"549","NDUFAF2","HDAC3"
"550","PMAIP1","HDAC3"
"551","HUWE1","HDAC3"
"552","ACTL6A","HDAC3"
"553","RCC1","HDAC3"
"554","NME2","HDAC3"
"555","CCNB1","HDAC3"
"556","CDCA7","HDAC3"
"557","UBTF","HDAC3"
"558","TFRC","HDAC3"
"559","EIF4A1","HDAC3"
"560","EIF4E","HDAC3"
"561","MTA1","HDAC3"
"562","EIF2S1","HDAC3"
"563","NDUFAF4","HDAC3"
"564","NOC4L","HDAC3"
"565","WDR43","HDAC3"
"566","TBRG4","HDAC3"
"567","NIP7","HDAC3"
"568","BYSL","HDAC3"
"569","PLK4","HDAC3"
"570","PPAN","HDAC3"
"571","RRP12","HDAC3"
"572","PPRC1","HDAC3"
"573","MCM5","HDAC3"
"574","CBX3","HDAC3"
"575","PLK1","HDAC3"
"576","MCM4","HDAC3"
"577","PRMT3","HDAC3"
"578","LAS1L","HDAC3"
"579","PUS1","HDAC3"
"580","HSPE1","HDAC3"
"581","DCTPP1","HDAC3"
"582","GRWD1","HDAC3"
"583","UNG","HDAC3"
"584","MPHOSPH10","HDAC3"
"585","ATP2B4","ITGA6"
"586","EMP1","ITGA6"
"587","PTRH2","ITGA6"
"588","TUBA1A","ITGA6"
"589","NGFR","ITGA6"
"590","ADAMTS15","ITGA6"
"591","DGKA","ITGA6"
"592","C12orf66","ITGA6"
"593","LSG1","ITGA6"
"594","CIRH1A","ITGA6"
"595","ZBED2","ITGA6"
"596","UBE2D4","ITGA6"
"597","RABEPK","ITGA6"
"598","BCS1L","ITGA6"
"599","ACSS2","ITGA6"
"600","CDK4","ITGA6"
"601","RHBDF1","ITGA6"
"602","HK2","ITGA6"
"603","RUNX1","ITGA6"
"604","PFKM","ITGA6"
"605","AIMP2","ITGA6"
"606","LOC646762","ITGA6"
"607","ERVMER341","ITGA6"
"608","SFXN4","ITGA6"
"609","SLC19A1","ITGA6"
"610","MYBBP1A","ITGA6"
"611","HIST1H2AC","ITGA6"
"612","TGM1","ITGA6"
"613","ADAM8","ITGA6"
"614","NOLC1","ITGA6"
"615","FGD6","ITGA6"
"616","CCDC137","ITGA6"
"617","FGF11","ITGA6"
"618","CYTH2","ITGA6"
"619","HSPD1","ITGA6"
"620","PNPT1","ITGA6"
"621","FLJ10661","ITGA6"
"622","DCAF4","ITGA6"
"623","DHODH","ITGA6"
"624","TGM2","ITGA6"
"625","COL5A1","ITGA6"
"626","IRF9","ITGA6"
"627","IPO4","ITGA6"
"628","TNFAIP2","ITGA6"
"629","TRMT1","ITGA6"
"630","MCOLN2","ITGA6"
"631","TCOF1","ITGA6"
"632","GPD1L","ITGA6"
"633","IMP4","ITGA6"
"634","PCOLCE2","ITGA6"
"635","FLAD1","ITGA6"
"636","NOP56","ITGA6"
"637","NFKB2","ITGA6"
"638","OSBP2","ITGA6"
"639","AKAP12","ITGA6"
"640","C1orf51","ITGA6"
"641","SPTAN1","ITGA6"
"642","ALS2CL","ITGA6"
"643","PMM2","ITGA6"
"644","RNF213","ITGA6"
"645","PHB","ITGA6"
"646","C11orf48","ITGA6"
"647","HSPA6","ITGA6"
"648","PA2G4","ITGA6"
"649","RRP9","ITGA6"
"650","DDAH2","ITGA6"
"651","DDX26B","ITGA6"
"652","NLE1","ITGA6"
"653","KCNQ5","ITGA6"
"654","DDX28","ITGA6"
"655","STMN3","ITGA6"
"656","DDX10","ITGA6"
"657","SORD","ITGA6"
"658","UTP20","ITGA6"
"659","TINF2","ITGA6"
"660","TMEM97","ITGA6"
"661","ZNF667","ITGA6"
"662","TTLL12","ITGA6"
"663","DAB2","ITGA6"
"664","OR2A4","ITGA6"
"665","PRR5","ITGA6"
"666","MEG3","ITGA6"
"667","FAM195A","ITGA6"
"668","BID","ITGA6"
"669","XPO5","ITGA6"
"670","TRIOBP","ITGA6"
"671","PLAU","ITGA6"
"672","PLEKHG2","ITGA6"
"673","KIAA1609","ITGA6"
"674","FAM86B1","ITGA6"
"675","MKNK1","ITGA6"
"676","CDK2","ITGA6"
"677","PLEC","ITGA6"
"678","COL1A1","ITGA6"
"679","MAP3K6","ITGA6"
"680","UBIAD1","ITGA6"
"681","ERBB3","ITGA6"
"682","FARSA","ITGA6"
"683","DTX2P1UPK3BP1PMS2P11","ITGA6"
"684","AGPAT5","ITGA6"
"685","PLD6","ITGA6"
"686","ARNTL","ITGA6"
"687","SLC6A8","ITGA6"
"688","FAM168A","ITGA6"
"689","LOC730755","ITGA6"
"690","SMTN","ITGA6"
"691","ABCC3","ITGA6"
"692","PHF1","ITGA6"
"693","NDE1","ITGA6"
"694","DHRS1","ITGA6"
"695","KHNYN","ITGA6"
"696","EPS8L1","ITGA6"
"697","ANGEL1","ITGA6"
"698","GPR110","ITGA6"
"699","COL8A2","ITGA6"
"700","SORL1","ITGA6"
"701","ANAPC1","ITGA6"
"702","SESTD1","ITGA6"
"703","RPP40","ITGA6"
"704","FGFBP1","ITGA6"
"705","NUFIP1","ITGA6"
"706","ERCC1","ITGA6"
"707","ALG3","ITGA6"
"708","MTMR11","ITGA6"
"709","CCNG2","ITGA6"
"710","NLRP1","ITGA6"
"711","ABL2","ITGA6"
"712","SRM","ITGA6"
"713","SCFD2","ITGA6"
"714","GNL3","ITGA6"
"715","GPATCH4","ITGA6"
"716","ALDH1B1","ITGA6"
"717","PAICS","ITGA6"
"718","NOL6","ITGA6"
"719","VMP1","ITGA6"
"720","NTF4","ITGA6"
"721","NCL","ITGA6"
"722","SLC12A8","ITGA6"
"723","HS6ST2","ITGA6"
"724","GPRC5A","ITGA6"
"725","NIT1","ITGA6"
"726","FAM193B","ITGA6"
"727","DUOX1","ITGA6"
"728","BOP1","ITGA6"
"729","MST1R","ITGA6"
"730","WSB1","ITGA6"
"731","GOLGA2","ITGA6"
"732","LTBP2","ITGA6"
"733","AHNAK","ITGA6"
"734","LINC00173","ITGA6"
"735","GEMIN5","ITGA6"
"736","PC","ITGA6"
"737","MICAL1","ITGA6"
"738","BEND3","ITGA6"
"739","MIR21","ITGA6"
"740","DUSP22","ITGA6"
"741","CGN","ITGA6"
"742","C10orf2","ITGA6"
"743","SUPV3L1","ITGA6"
"744","DIEXF","ITGA6"
"745","FCHSD1","ITGA6"
"746","VAMP1","ITGA6"
"747","YPEL3","ITGA6"
"748","CDCA8","ITGA6"
"749","TAF4B","ITGA6"
"750","CCDC78","ITGA6"
"751","FAM100A","ITGA6"
"752","NPM1","ITGA6"
"753","TFB2M","ITGA6"
"754","DKC1","ITGA6"
"755","PDLIM7","ITGA6"
"756","DUSP2","ITGA6"
"757","ARNTL2","ITGA6"
"758","PES1","ITGA6"
"759","SSH3","ITGA6"
"760","FARSB","ITGA6"
"761","C19orf48","ITGA6"
"762","C20orf27","ITGA6"
"763","WDR12","ITGA6"
"764","SERPINB1","ITGA6"
"765","MON1A","ITGA6"
"766","SMURF1","ITGA6"
"767","PCYOX1L","ITGA6"
"768","NRP1","ITGA6"
"769","SLC6A15","ITGA6"
"770","MRTO4","ITGA6"
"771","FAM86C1","ITGA6"
"772","ATIC","ITGA6"
"773","SLITRK6","ITGA6"
"774","B7H6","ITGA6"
"775","CCDC86","ITGA6"
"776","SLC29A2","ITGA6"
"777","SNHG1","ITGA6"
"778","LAMC2","ITGA6"
"779","DDX18","ITGA6"
"780","EXOSC5","ITGA6"
"781","ECE2","ITGA6"
"782","NOP16","ITGA6"
"783","WDR74","ITGA6"
"784","UTP14A","ITGA6"
"785","NOP2","ITGA6"
"786","METTL1","ITGA6"
"787","RCL1","ITGA6"
"788","PDP1","ITGA6"
"789","BAX","ITGA6"
"790","TK1","ITGA6"
"791","TAF9","ITGA6"
"792","RUVBL2","ITGA6"
"793","HMGA1","ITGA6"
"794","KAT5","ITGA6"
"795","ENO1","ITGA6"
"796","CDC25A","ITGA6"
"797","E2F3","ITGA6"
"798","PRDX3","ITGA6"
"799","ODC1","ITGA6"
"800","PTMA","ITGA6"
"801","SNAI1","ITGA6"
"802","KAT2A","ITGA6"
"803","SERPINI1","ITGA6"
"804","HSP90AA1","ITGA6"
"805","MMP9","ITGA6"
"806","LIN28B","ITGA6"
"807","NME1","ITGA6"
"808","TERT","ITGA6"
"809","RPL11","ITGA6"
"810","PIM1","ITGA6"
"811","TAF10","ITGA6"
"812","RUVBL1","ITGA6"
"813","BMI1","ITGA6"
"814","SLC2A1","ITGA6"
"815","TAF12","ITGA6"
"816","BIRC5","ITGA6"
"817","BCAT1","ITGA6"
"818","KIR3DL1","ITGA6"
"819","SUPT7L","ITGA6"
"820","LDHA","ITGA6"
"821","TRRAP","ITGA6"
"822","IREB2","ITGA6"
"823","TP53","ITGA6"
"824","CAD","ITGA6"
"825","MTDH","ITGA6"
"826","FOSL1","ITGA6"
"827","GPAM","ITGA6"
"828","GAPDH","ITGA6"
"829","HSPA4","ITGA6"
"830","SUPT3H","ITGA6"
"831","POLR3D","ITGA6"
"832","SHMT1","ITGA6"
"833","CREBBP","ITGA6"
"834","CCND2","ITGA6"
"835","PEG10","ITGA6"
"836","EIF4G1","ITGA6"
"837","NBN","ITGA6"
"838","MYCT1","ITGA6"
"839","PDCD10","ITGA6"
"840","MINA","ITGA6"
"841","NDUFAF2","ITGA6"
"842","PMAIP1","ITGA6"
"843","HUWE1","ITGA6"
"844","ACTL6A","ITGA6"
"845","RCC1","ITGA6"
"846","NME2","ITGA6"
"847","CCNB1","ITGA6"
"848","CDCA7","ITGA6"
"849","UBTF","ITGA6"
"850","TFRC","ITGA6"
"851","EIF4A1","ITGA6"
"852","EIF4E","ITGA6"
"853","MTA1","ITGA6"
"854","EIF2S1","ITGA6"
"855","NDUFAF4","ITGA6"
"856","NOC4L","ITGA6"
"857","WDR43","ITGA6"
"858","TBRG4","ITGA6"
"859","NIP7","ITGA6"
"860","BYSL","ITGA6"
"861","PLK4","ITGA6"
"862","PPAN","ITGA6"
"863","RRP12","ITGA6"
"864","PPRC1","ITGA6"
"865","MCM5","ITGA6"
"866","CBX3","ITGA6"
"867","PLK1","ITGA6"
"868","MCM4","ITGA6"
"869","PRMT3","ITGA6"
"870","LAS1L","ITGA6"
"871","PUS1","ITGA6"
"872","HSPE1","ITGA6"
"873","DCTPP1","ITGA6"
"874","GRWD1","ITGA6"
"875","UNG","ITGA6"
"876","MPHOSPH10","ITGA6"
"877","ATP2B4","TJP2"
"878","EMP1","TJP2"
"879","PTRH2","TJP2"
"880","TUBA1A","TJP2"
"881","NGFR","TJP2"
"882","ADAMTS15","TJP2"
"883","DGKA","TJP2"
"884","C12orf66","TJP2"
"885","LSG1","TJP2"
"886","CIRH1A","TJP2"
"887","ZBED2","TJP2"
"888","UBE2D4","TJP2"
"889","RABEPK","TJP2"
"890","BCS1L","TJP2"
"891","ACSS2","TJP2"
"892","CDK4","TJP2"
"893","RHBDF1","TJP2"
"894","HK2","TJP2"
"895","RUNX1","TJP2"
"896","PFKM","TJP2"
"897","AIMP2","TJP2"
"898","LOC646762","TJP2"
"899","ERVMER341","TJP2"
"900","SFXN4","TJP2"
"901","SLC19A1","TJP2"
"902","MYBBP1A","TJP2"
